% Station Andøya, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  5.9786E+01	  6.1116E+01	  1.4703E+02	  8.2451E+04	  8.8283E+01	  1.1156E+01	  3.1461E+01	  1.2065E+00	  1.3854E+03	  1.7291E+05	  2.0949E+00	0.000
1995	2	  1.6273E+03	  1.6618E+03	  3.5676E+03	  2.1214E+06	  2.4249E+03	  2.5869E+02	  7.0532E+02	  3.5605E+01	  3.5971E+04	  5.3747E+06	  7.2855E+01	0.000
1995	3	  1.0710E+04	  1.0887E+04	  4.1530E+04	  1.1052E+07	  1.8126E+04	  1.9896E+03	  7.3471E+03	  2.9396E+02	  1.8953E+05	  2.9970E+07	  4.1726E+02	0.000
1995	4	  3.1056E+04	  3.1445E+04	  1.7321E+05	  2.4748E+07	  5.8689E+04	  7.6251E+03	  3.2222E+04	  1.0000E+03	  4.2980E+05	  6.8590E+07	  9.5901E+02	0.000
1995	5	  5.9899E+04	  6.0493E+04	  3.9099E+05	  3.7938E+07	  1.2106E+05	  1.8584E+04	  7.8749E+04	  2.1090E+03	  6.7615E+05	  1.0361E+08	  1.4452E+03	0.000
1995	6	  7.8126E+04	  7.8799E+04	  5.3808E+05	  4.3024E+07	  1.6280E+05	  2.7796E+04	  1.1437E+05	  2.8673E+03	  7.8171E+05	  1.1669E+08	  1.6267E+03	0.000
1995	7	  7.6649E+04	  7.7286E+04	  5.3374E+05	  4.0747E+07	  1.6081E+05	  2.8161E+04	  1.1487E+05	  2.8404E+03	  7.4384E+05	  1.1107E+08	  1.5513E+03	0.000
1995	8	  4.7971E+04	  4.8406E+04	  3.2527E+05	  2.7867E+07	  9.8955E+04	  1.6237E+04	  6.7684E+04	  1.7365E+03	  5.0148E+05	  7.7501E+07	  1.0880E+03	0.000
1995	9	  1.8262E+04	  1.8468E+04	  1.1020E+05	  1.3185E+07	  3.5657E+04	  5.0567E+03	  2.1341E+04	  6.1503E+02	  2.3051E+05	  3.7831E+07	  5.3523E+02	0.000
1995	10	  4.4019E+03	  4.4697E+03	  1.8783E+04	  4.2997E+06	  7.6785E+03	  9.4604E+02	  3.5080E+03	  1.2704E+02	  7.3215E+04	  1.2222E+07	  1.7225E+02	0.000
1995	11	  3.7367E+02	  3.8107E+02	  1.0431E+03	  4.6065E+05	  5.8282E+02	  7.7308E+01	  2.2651E+02	  8.7590E+00	  7.7695E+03	  1.1145E+06	  1.4634E+01	0.000
1995	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	1	  5.9786E+01	  6.1116E+01	  1.4703E+02	  8.2451E+04	  8.8283E+01	  1.1156E+01	  3.1461E+01	  1.2065E+00	  1.3854E+03	  1.7291E+05	  2.0949E+00	0.000
1996	2	  1.7662E+03	  1.8034E+03	  3.9268E+03	  2.2902E+06	  2.6398E+03	  2.8098E+02	  7.7196E+02	  3.8894E+01	  3.8847E+04	  5.8206E+06	  7.9015E+01	0.000
1996	3	  1.1217E+04	  1.1400E+04	  4.4214E+04	  1.1478E+07	  1.9064E+04	  2.1017E+03	  7.8218E+03	  3.0989E+02	  1.9689E+05	  3.1165E+07	  4.3402E+02	0.000
