% Station Andøya, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 12:01:28
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  6.0127E+01	  6.1457E+01	  1.4907E+02	  8.2248E+04	  8.8675E+01	  1.1257E+01	  3.1893E+01	  1.2182E+00	  1.3827E+03	  1.7269E+05	  2.0942E+00	0.000
1995	2	  1.6380E+03	  1.6724E+03	  3.6418E+03	  2.1164E+06	  2.4391E+03	  2.6067E+02	  7.1780E+02	  3.5984E+01	  3.5903E+04	  5.3645E+06	  7.2747E+01	0.000
1995	3	  1.2122E+04	  1.2299E+04	  5.6321E+04	  1.1087E+07	  2.1567E+04	  2.5933E+03	  1.0284E+04	  3.5810E+02	  1.9213E+05	  3.0108E+07	  4.2035E+02	0.000
1995	4	  3.2405E+04	  3.2794E+04	  1.8708E+05	  2.4776E+07	  6.2012E+04	  8.2826E+03	  3.5221E+04	  1.0616E+03	  4.3217E+05	  6.8684E+07	  9.6112E+02	0.000
1995	5	  6.5289E+04	  6.5884E+04	  4.3965E+05	  3.8020E+07	  1.3436E+05	  2.2137E+04	  9.1717E+04	  2.3577E+03	  6.8528E+05	  1.0384E+08	  1.4498E+03	0.000
1995	6	  8.8866E+04	  8.9540E+04	  6.2955E+05	  4.3168E+07	  1.8907E+05	  3.5516E+04	  1.4037E+05	  3.3643E+03	  7.9971E+05	  1.1708E+08	  1.6345E+03	0.000
1995	7	  8.1408E+04	  8.2046E+04	  5.7354E+05	  4.0802E+07	  1.7239E+05	  3.1655E+04	  1.2637E+05	  3.0605E+03	  7.5167E+05	  1.1122E+08	  1.5543E+03	0.000
1995	8	  5.3201E+04	  5.3636E+04	  3.7051E+05	  2.7939E+07	  1.1179E+05	  1.9937E+04	  8.0351E+04	  1.9786E+03	  5.1027E+05	  7.7697E+07	  1.0920E+03	0.000
1995	9	  2.0533E+04	  2.0739E+04	  1.3179E+05	  1.3229E+07	  4.1314E+04	  6.4554E+03	  2.6780E+04	  7.2006E+02	  2.3448E+05	  3.7959E+07	  5.3783E+02	0.000
1995	10	  4.5368E+03	  4.6046E+03	  2.0155E+04	  4.3026E+06	  8.0044E+03	  1.0092E+03	  3.7902E+03	  1.3320E+02	  7.3456E+04	  1.2236E+07	  1.7256E+02	0.000
1995	11	  3.7847E+02	  3.8587E+02	  1.0766E+03	  4.6025E+05	  5.9220E+02	  7.9462E+01	  2.3406E+02	  8.9614E+00	  7.7711E+03	  1.1152E+06	  1.4660E+01	0.000
1995	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	1	  6.2272E+01	  6.3608E+01	  1.6377E+02	  8.2506E+04	  9.3459E+01	  1.2262E+01	  3.5399E+01	  1.3133E+00	  1.3911E+03	  1.7450E+05	  2.1299E+00	0.000
1996	2	  1.9956E+03	  2.0331E+03	  5.9762E+03	  2.3026E+06	  3.1662E+03	  3.6205E+02	  1.1492E+03	  4.9161E+01	  3.9420E+04	  5.8927E+06	  8.0530E+01	0.000
1996	3	  1.3949E+04	  1.4134E+04	  7.2447E+04	  1.1567E+07	  2.5762E+04	  3.3196E+03	  1.3559E+04	  4.3454E+02	  2.0230E+05	  3.1495E+07	  4.4089E+02	0.000
1996	4	  3.5210E+04	  3.5607E+04	  2.1309E+05	  2.5284E+07	  6.8699E+04	  9.6053E+03	  4.0978E+04	  1.1834E+03	  4.4409E+05	  7.0103E+07	  9.8192E+02	0.000
