% Station Blindern, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by the University of Oslo (email: arne.dahlback@fys.uio.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.0522E+03	  2.0886E+03	  6.7514E+03	  2.2249E+06	  3.3554E+03	  3.9279E+02	  1.2958E+03	  5.3126E+01	  3.8581E+04	  5.6432E+06	  7.7489E+01	0.000
1995	2	  5.8106E+03	  5.9064E+03	  2.2455E+04	  5.8931E+06	  9.8385E+03	  1.0837E+03	  3.9958E+03	  1.5894E+02	  1.0249E+05	  1.5362E+07	  2.1273E+02	0.000
1995	3	  2.1555E+04	  2.1811E+04	  1.2445E+05	  1.6070E+07	  4.1412E+04	  5.6497E+03	  2.3787E+04	  7.0672E+02	  2.8445E+05	  4.2803E+07	  5.9516E+02	0.000
1995	4	  4.5598E+04	  4.6036E+04	  3.0188E+05	  2.7868E+07	  9.2839E+04	  1.4549E+04	  6.1401E+04	  1.6208E+03	  5.0033E+05	  7.5179E+07	  1.0464E+03	0.000
1995	5	  8.0818E+04	  8.1451E+04	  5.7038E+05	  4.0472E+07	  1.7116E+05	  3.1252E+04	  1.2518E+05	  3.0396E+03	  7.4640E+05	  1.0856E+08	  1.5098E+03	0.000
1995	6	  1.0558E+05	  1.0629E+05	  7.6107E+05	  4.5162E+07	  2.2836E+05	  4.6946E+04	  1.7725E+05	  4.1106E+03	  8.5592E+05	  1.2029E+08	  1.6723E+03	0.000
1995	7	  9.9869E+04	  1.0055E+05	  7.1948E+05	  4.3688E+07	  2.1555E+05	  4.3482E+04	  1.6607E+05	  3.8707E+03	  8.2436E+05	  1.1679E+08	  1.6249E+03	0.000
1995	8	  7.8643E+04	  7.9167E+04	  5.6742E+05	  3.3655E+07	  1.7018E+05	  3.4998E+04	  1.3220E+05	  3.0622E+03	  6.3710E+05	  9.1202E+07	  1.2745E+03	0.000
1995	9	  3.5531E+04	  3.5839E+04	  2.4399E+05	  1.9708E+07	  7.3919E+04	  1.2559E+04	  5.1655E+04	  1.3010E+03	  3.5771E+05	  5.4498E+07	  7.6500E+02	0.000
1995	10	  1.3042E+04	  1.3185E+04	  7.9718E+04	  9.0706E+06	  2.5662E+04	  3.7561E+03	  1.5697E+04	  4.4315E+02	  1.6027E+05	  2.5543E+07	  3.6074E+02	0.000
1995	11	  3.2912E+03	  3.3394E+03	  1.4889E+04	  3.0094E+06	  5.8526E+03	  7.5040E+02	  2.8146E+03	  9.7565E+01	  5.2191E+04	  8.2023E+06	  1.1499E+02	0.000
1995	12	  1.2229E+03	  1.2449E+03	  3.8641E+03	  1.3547E+06	  1.9839E+03	  2.5018E+02	  7.8709E+02	  3.1229E+01	  2.3353E+04	  3.3897E+06	  4.6092E+01	0.000
1996	1	  2.2195E+03	  2.2560E+03	  8.3533E+03	  2.2352E+06	  3.7562E+03	  4.6200E+02	  1.6038E+03	  6.0743E+01	  3.9009E+04	  5.6858E+06	  7.8321E+01	0.000
1996	2	  7.3701E+03	  7.4719E+03	  3.6595E+04	  6.2792E+06	  1.3441E+04	  1.6784E+03	  6.7782E+03	  2.2425E+02	  1.1093E+05	  1.6419E+07	  2.2838E+02	0.000
