% Station Blindern, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station was drifted by the University of Oslo in the period 1995-2019 (email: arne.dahlback@fys.uio.no). Instrument was moved to Kjeller in 2019, and is now drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:12:35
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI. Gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.0522E+03	  2.0886E+03	  6.7512E+03	  2.2249E+06	  3.3554E+03	  3.9278E+02	  1.2957E+03	  5.3125E+01	  3.8581E+04	  5.6432E+06	  7.7489E+01	0.000
1995	2	  5.8106E+03	  5.9064E+03	  2.2455E+04	  5.8931E+06	  9.8384E+03	  1.0837E+03	  3.9958E+03	  1.5894E+02	  1.0249E+05	  1.5362E+07	  2.1273E+02	0.000
1995	3	  2.1555E+04	  2.1811E+04	  1.2445E+05	  1.6070E+07	  4.1413E+04	  5.6498E+03	  2.3787E+04	  7.0673E+02	  2.8445E+05	  4.2803E+07	  5.9517E+02	0.000
1995	4	  4.5598E+04	  4.6036E+04	  3.0189E+05	  2.7868E+07	  9.2840E+04	  1.4549E+04	  6.1402E+04	  1.6208E+03	  5.0033E+05	  7.5179E+07	  1.0464E+03	0.000
1995	5	  8.0819E+04	  8.1452E+04	  5.7039E+05	  4.0472E+07	  1.7116E+05	  3.1252E+04	  1.2518E+05	  3.0397E+03	  7.4640E+05	  1.0856E+08	  1.5098E+03	0.000
1995	6	  1.0558E+05	  1.0629E+05	  7.6109E+05	  4.5162E+07	  2.2836E+05	  4.6948E+04	  1.7725E+05	  4.1107E+03	  8.5593E+05	  1.2029E+08	  1.6723E+03	0.000
1995	7	  9.9870E+04	  1.0055E+05	  7.1949E+05	  4.3688E+07	  2.1555E+05	  4.3483E+04	  1.6607E+05	  3.8708E+03	  8.2436E+05	  1.1679E+08	  1.6249E+03	0.000
1995	8	  7.8644E+04	  7.9168E+04	  5.6743E+05	  3.3655E+07	  1.7018E+05	  3.4999E+04	  1.3220E+05	  3.0623E+03	  6.3710E+05	  9.1202E+07	  1.2745E+03	0.000
1995	9	  3.5532E+04	  3.5840E+04	  2.4400E+05	  1.9708E+07	  7.3920E+04	  1.2559E+04	  5.1656E+04	  1.3011E+03	  3.5771E+05	  5.4498E+07	  7.6500E+02	0.000
1995	10	  1.3042E+04	  1.3185E+04	  7.9719E+04	  9.0706E+06	  2.5663E+04	  3.7562E+03	  1.5698E+04	  4.4315E+02	  1.6027E+05	  2.5543E+07	  3.6074E+02	0.000
1995	11	  3.2912E+03	  3.3394E+03	  1.4889E+04	  3.0094E+06	  5.8526E+03	  7.5041E+02	  2.8146E+03	  9.7565E+01	  5.2191E+04	  8.2023E+06	  1.1499E+02	0.000
1995	12	  1.2229E+03	  1.2449E+03	  3.8640E+03	  1.3547E+06	  1.9839E+03	  2.5018E+02	  7.8706E+02	  3.1228E+01	  2.3353E+04	  3.3897E+06	  4.6092E+01	0.000
1996	1	  2.2195E+03	  2.2560E+03	  8.3533E+03	  2.2352E+06	  3.7562E+03	  4.6200E+02	  1.6038E+03	  6.0743E+01	  3.9009E+04	  5.6858E+06	  7.8321E+01	0.000
1996	2	  7.3701E+03	  7.4720E+03	  3.6596E+04	  6.2793E+06	  1.3441E+04	  1.6784E+03	  6.7783E+03	  2.2425E+02	  1.1093E+05	  1.6419E+07	  2.2838E+02	0.000
1996	3	  2.5043E+04	  2.5306E+04	  1.5712E+05	  1.6537E+07	  4.9837E+04	  7.4066E+03	  3.1215E+04	  8.6054E+02	  2.9675E+05	  4.4090E+07	  6.1434E+02	0.000
1996	4	  5.2173E+04	  5.2618E+04	  3.6081E+05	  2.8380E+07	  1.0890E+05	  1.8579E+04	  7.6566E+04	  1.9179E+03	  5.1780E+05	  7.6570E+07	  1.0674E+03	0.000
