% Station Bergen, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  1.6679E+03	  1.7006E+03	  4.4255E+03	  2.0353E+06	  2.5928E+03	  2.8982E+02	  8.6428E+02	  3.9756E+01	  3.4400E+04	  5.4011E+06	  7.4340E+01	0.000
1995	2	  5.3791E+03	  5.4685E+03	  2.0476E+04	  5.5538E+06	  9.0716E+03	  9.9719E+02	  3.6407E+03	  1.4674E+02	  9.5676E+04	  1.4893E+07	  2.0725E+02	0.000
1995	3	  1.8423E+04	  1.8665E+04	  9.7821E+04	  1.5279E+07	  3.4209E+04	  4.2640E+03	  1.7876E+04	  5.7801E+02	  2.6628E+05	  4.1384E+07	  5.7644E+02	0.000
1995	4	  4.1347E+04	  4.1771E+04	  2.6563E+05	  2.7038E+07	  8.2848E+04	  1.2324E+04	  5.2625E+04	  1.4393E+03	  4.8056E+05	  7.3399E+07	  1.0221E+03	0.000
1995	5	  7.4451E+04	  7.5070E+04	  5.1938E+05	  3.9605E+07	  1.5614E+05	  2.7107E+04	  1.1117E+05	  2.7589E+03	  7.2332E+05	  1.0649E+08	  1.4808E+03	0.000
1995	6	  9.4347E+04	  9.5031E+04	  6.7640E+05	  4.3806E+07	  2.0218E+05	  3.8829E+04	  1.5239E+05	  3.6105E+03	  8.1809E+05	  1.1690E+08	  1.6245E+03	0.000
1995	7	  9.5964E+04	  9.6632E+04	  6.9182E+05	  4.2733E+07	  2.0681E+05	  4.0968E+04	  1.5832E+05	  3.7057E+03	  8.0367E+05	  1.1437E+08	  1.5916E+03	0.000
1995	8	  6.8830E+04	  6.9341E+04	  4.9214E+05	  3.2707E+07	  1.4710E+05	  2.7817E+04	  1.1000E+05	  2.6215E+03	  6.0770E+05	  8.8856E+07	  1.2412E+03	0.000
1995	9	  3.3275E+04	  3.3568E+04	  2.2788E+05	  1.8807E+07	  6.9030E+04	  1.1550E+04	  4.7857E+04	  1.2140E+03	  3.3970E+05	  5.2535E+07	  7.3891E+02	0.000
1995	10	  1.1711E+04	  1.1847E+04	  6.9089E+04	  8.6674E+06	  2.2676E+04	  3.1786E+03	  1.3311E+04	  3.9017E+02	  1.5127E+05	  2.4931E+07	  3.5332E+02	0.000
1995	11	  2.7709E+03	  2.8155E+03	  1.0979E+04	  2.8193E+06	  4.7408E+03	  5.7680E+02	  2.0626E+03	  7.7731E+01	  4.7905E+04	  7.9574E+06	  1.1192E+02	0.000
1995	12	  9.5883E+02	  9.7827E+02	  2.3826E+03	  1.2168E+06	  1.4667E+03	  1.7354E+02	  4.9409E+02	  2.2066E+01	  2.0406E+04	  3.1721E+06	  4.3077E+01	0.000
1996	1	  1.6679E+03	  1.7006E+03	  4.4255E+03	  2.0353E+06	  2.5928E+03	  2.8982E+02	  8.6428E+02	  3.9756E+01	  3.4400E+04	  5.4011E+06	  7.4340E+01	0.000
1996	2	  7.0853E+03	  7.1805E+03	  3.6240E+04	  5.9271E+06	  1.3055E+04	  1.6788E+03	  6.7893E+03	  2.1928E+02	  1.0410E+05	  1.5935E+07	  2.2286E+02	0.000
