% Station Bergen, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:11:19
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI. Gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  1.6679E+03	  1.7006E+03	  4.4244E+03	  2.0241E+06	  2.5928E+03	  2.8878E+02	  8.6297E+02	  3.9695E+01	  3.4378E+04	  5.2873E+06	  7.2571E+01	0.000
1995	2	  5.3791E+03	  5.4685E+03	  2.0480E+04	  5.5704E+06	  9.0716E+03	  9.9942E+02	  3.6444E+03	  1.4688E+02	  9.5709E+04	  1.5067E+07	  2.1000E+02	0.000
1995	3	  1.8423E+04	  1.8665E+04	  9.7850E+04	  1.5380E+07	  3.4209E+04	  4.2816E+03	  1.7907E+04	  5.7903E+02	  2.6649E+05	  4.2473E+07	  5.9368E+02	0.000
1995	4	  4.1347E+04	  4.1771E+04	  2.6565E+05	  2.7102E+07	  8.2848E+04	  1.2341E+04	  5.2656E+04	  1.4401E+03	  4.8069E+05	  7.4110E+07	  1.0334E+03	0.000
1995	5	  7.4451E+04	  7.5070E+04	  5.1938E+05	  3.9605E+07	  1.5614E+05	  2.7107E+04	  1.1117E+05	  2.7589E+03	  7.2332E+05	  1.0649E+08	  1.4808E+03	0.000
1995	6	  9.4347E+04	  9.5031E+04	  6.7640E+05	  4.3806E+07	  2.0218E+05	  3.8829E+04	  1.5239E+05	  3.6105E+03	  8.1809E+05	  1.1690E+08	  1.6245E+03	0.000
1995	7	  9.5964E+04	  9.6632E+04	  6.9182E+05	  4.2732E+07	  2.0681E+05	  4.0968E+04	  1.5832E+05	  3.7056E+03	  8.0367E+05	  1.1436E+08	  1.5915E+03	0.000
1995	8	  6.8830E+04	  6.9341E+04	  4.9213E+05	  3.2690E+07	  1.4710E+05	  2.7808E+04	  1.0999E+05	  2.6212E+03	  6.0766E+05	  8.8669E+07	  1.2382E+03	0.000
1995	9	  3.3275E+04	  3.3568E+04	  2.2787E+05	  1.8784E+07	  6.9030E+04	  1.1541E+04	  4.7841E+04	  1.2136E+03	  3.3966E+05	  5.2272E+07	  7.3469E+02	0.000
1995	10	  1.1711E+04	  1.1847E+04	  6.9084E+04	  8.6516E+06	  2.2676E+04	  3.1749E+03	  1.3305E+04	  3.8999E+02	  1.5124E+05	  2.4746E+07	  3.5033E+02	0.000
1995	11	  2.7709E+03	  2.8155E+03	  1.0978E+04	  2.8104E+06	  4.7408E+03	  5.7564E+02	  2.0609E+03	  7.7665E+01	  4.7888E+04	  7.8562E+06	  1.1030E+02	0.000
1995	12	  9.5883E+02	  9.7827E+02	  2.3821E+03	  1.2113E+06	  1.4667E+03	  1.7303E+02	  4.9347E+02	  2.2039E+01	  2.0396E+04	  3.1154E+06	  4.2204E+01	0.000
1996	1	  1.6679E+03	  1.7006E+03	  4.4244E+03	  2.0241E+06	  2.5928E+03	  2.8878E+02	  8.6297E+02	  3.9695E+01	  3.4378E+04	  5.2873E+06	  7.2571E+01	0.000
1996	2	  7.0856E+03	  7.1808E+03	  3.6251E+04	  5.9471E+06	  1.3056E+04	  1.6839E+03	  6.7991E+03	  2.1956E+02	  1.0414E+05	  1.6147E+07	  2.2622E+02	0.000
1996	3	  2.3822E+04	  2.4072E+04	  1.4978E+05	  1.5889E+07	  4.7430E+04	  7.0992E+03	  2.9816E+04	  8.2174E+02	  2.8223E+05	  4.3917E+07	  6.1608E+02	0.000
1996	4	  4.9800E+04	  5.0232E+04	  3.4269E+05	  2.7653E+07	  1.0361E+05	  1.7507E+04	  7.2343E+04	  1.8244E+03	  5.0156E+05	  7.5571E+07	  1.0559E+03	0.000
