% Station Finse, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1996	1	  2.6075E+03	  2.6589E+03	  6.8073E+03	  3.0313E+06	  4.0411E+03	  4.3652E+02	  1.3187E+03	  6.0853E+01	  5.3724E+04	  6.9545E+06	  9.3405E+01	0.000
1996	2	  9.2632E+03	  9.4174E+03	  3.5119E+04	  9.1516E+06	  1.5614E+04	  1.6655E+03	  6.1789E+03	  2.4930E+02	  1.6405E+05	  2.1820E+07	  2.9796E+02	0.000
1996	3	  3.1305E+04	  3.1716E+04	  1.6628E+05	  2.4472E+07	  5.8192E+04	  7.0030E+03	  3.0011E+04	  9.6815E+02	  4.4830E+05	  5.7075E+07	  7.7571E+02	0.000
1996	4	  6.8528E+04	  6.9229E+04	  4.3948E+05	  4.1866E+07	  1.3740E+05	  1.9622E+04	  8.5837E+04	  2.3444E+03	  7.8861E+05	  9.5064E+07	  1.2847E+03	0.000
1996	5	  1.1086E+05	  1.1178E+05	  7.7117E+05	  5.5578E+07	  2.3249E+05	  3.8838E+04	  1.6283E+05	  4.0410E+03	  1.0698E+06	  1.2659E+08	  1.7111E+03	0.000
1996	6	  1.1998E+05	  1.2085E+05	  8.5849E+05	  5.3743E+07	  2.5707E+05	  4.8146E+04	  1.9167E+05	  4.5432E+03	  1.0372E+06	  1.2874E+08	  1.7555E+03	0.000
1996	7	  1.0822E+05	  1.0898E+05	  7.7852E+05	  4.8068E+07	  2.3288E+05	  4.5344E+04	  1.7687E+05	  4.1528E+03	  9.1344E+05	  1.2341E+08	  1.7042E+03	0.000
1996	8	  8.0716E+04	  8.1277E+04	  5.8087E+05	  3.5882E+07	  1.7389E+05	  3.4514E+04	  1.3304E+05	  3.1134E+03	  6.7614E+05	  9.6453E+07	  1.3457E+03	0.000
1996	9	  4.1395E+04	  4.1723E+04	  2.9054E+05	  2.0984E+07	  8.7458E+04	  1.5882E+04	  6.3594E+04	  1.5492E+03	  3.8687E+05	  5.7697E+07	  8.1026E+02	0.000
1996	10	  1.4935E+04	  1.5104E+04	  8.9229E+04	  1.0388E+07	  2.9109E+04	  4.0770E+03	  1.7229E+04	  4.9704E+02	  1.8813E+05	  2.6832E+07	  3.7353E+02	0.000
1996	11	  3.9005E+03	  3.9646E+03	  1.4871E+04	  3.8021E+06	  6.6126E+03	  7.7002E+02	  2.7684E+03	  1.0601E+02	  6.8181E+04	  9.0167E+06	  1.2304E+02	0.000
1996	12	  1.5130E+03	  1.5426E+03	  4.1218E+03	  1.7444E+06	  2.3620E+03	  2.8198E+02	  8.4710E+02	  3.5503E+01	  3.0928E+04	  3.8630E+06	  5.1056E+01	0.000
1997	1	  2.7356E+03	  2.7871E+03	  7.9567E+03	  3.0403E+06	  4.3433E+03	  4.8742E+02	  1.5398E+03	  6.6613E+01	  5.4082E+04	  6.9917E+06	  9.4122E+01	0.000
1997	2	  9.1835E+03	  9.3296E+03	  3.7632E+04	  8.6735E+06	  1.5812E+04	  1.7539E+03	  6.7120E+03	  2.5488E+02	  1.5608E+05	  2.0698E+07	  2.8298E+02	0.000
1997	3	  3.5973E+04	  3.6376E+04	  2.1681E+05	  2.4032E+07	  7.0359E+04	  9.6253E+03	  4.1564E+04	  1.1905E+03	  4.4780E+05	  5.6152E+07	  7.6555E+02	0.000
1997	4	  7.8793E+04	  7.9487E+04	  5.3605E+05	  4.1500E+07	  1.6336E+05	  2.6314E+04	  1.1121E+05	  2.8208E+03	  7.9750E+05	  9.4277E+07	  1.2767E+03	0.000
1997	5	  1.1350E+05	  1.1442E+05	  7.9356E+05	  5.5428E+07	  2.3906E+05	  4.0830E+04	  1.6942E+05	  4.1637E+03	  1.0716E+06	  1.2614E+08	  1.7053E+03	0.000
1997	6	  1.2720E+05	  1.2808E+05	  9.1465E+05	  5.3963E+07	  2.7433E+05	  5.3588E+04	  2.0853E+05	  4.8703E+03	  1.0520E+06	  1.2895E+08	  1.7585E+03	0.000
1997	7	  1.1604E+05	  1.1680E+05	  8.3843E+05	  4.8463E+07	  2.5142E+05	  5.1334E+04	  1.9502E+05	  4.5080E+03	  9.3159E+05	  1.2416E+08	  1.7149E+03	0.000
1997	8	  8.4337E+04	  8.4906E+04	  6.0864E+05	  3.6357E+07	  1.8235E+05	  3.7025E+04	  1.4100E+05	  3.2735E+03	  6.8896E+05	  9.7616E+07	  1.3620E+03	0.000
1997	9	  4.1659E+04	  4.1994E+04	  2.9125E+05	  2.1400E+07	  8.7808E+04	  1.5826E+04	  6.3499E+04	  1.5542E+03	  3.9365E+05	  5.8838E+07	  8.2598E+02	0.000
1997	10	  1.5393E+04	  1.5567E+04	  9.2127E+04	  1.0678E+07	  3.0040E+04	  4.2411E+03	  1.7868E+04	  5.1347E+02	  1.9319E+05	  2.7678E+07	  3.8545E+02	0.000
1997	11	  4.2320E+03	  4.2983E+03	  1.7396E+04	  3.9422E+06	  7.3232E+03	  8.7960E+02	  3.2522E+03	  1.1864E+02	  7.0954E+04	  9.3772E+06	  1.2820E+02	0.000
1997	12	  1.5093E+03	  1.5392E+03	  3.9750E+03	  1.7600E+06	  2.3407E+03	  2.7571E+02	  8.1830E+02	  3.5028E+01	  3.1179E+04	  3.9016E+06	  5.1584E+01	0.000
1998	1	  2.8640E+03	  2.9157E+03	  9.1893E+03	  3.0485E+06	  4.6503E+03	  5.3599E+02	  1.7672E+03	  7.2398E+01	  5.4419E+04	  7.0226E+06	  9.4718E+01	0.000
1998	2	  9.5655E+03	  9.7118E+03	  4.1535E+04	  8.6910E+06	  1.6749E+04	  1.9131E+03	  7.4715E+03	  2.7214E+02	  1.5694E+05	  2.0758E+07	  2.8413E+02	0.000
1998	3	  3.5449E+04	  3.5852E+04	  2.1061E+05	  2.3995E+07	  6.9081E+04	  9.5254E+03	  4.0710E+04	  1.1669E+03	  4.4639E+05	  5.6027E+07	  7.6315E+02	0.000
