% Station Finse, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1996	1	  2.6075E+03	  2.6589E+03	  6.8054E+03	  3.0141E+06	  4.0411E+03	  4.3489E+02	  1.3166E+03	  6.0754E+01	  5.3686E+04	  6.8228E+06	  9.1452E+01	0.000
1996	2	  9.2632E+03	  9.4174E+03	  3.5110E+04	  9.1020E+06	  1.5614E+04	  1.6596E+03	  6.1693E+03	  2.4891E+02	  1.6394E+05	  2.1425E+07	  2.9200E+02	0.000
1996	3	  3.1305E+04	  3.1716E+04	  1.6625E+05	  2.4358E+07	  5.8192E+04	  6.9819E+03	  2.9972E+04	  9.6688E+02	  4.4804E+05	  5.6185E+07	  7.6234E+02	0.000
1996	4	  6.8528E+04	  6.9229E+04	  4.3942E+05	  4.1756E+07	  1.3740E+05	  1.9590E+04	  8.5775E+04	  2.3427E+03	  7.8836E+05	  9.4218E+07	  1.2720E+03	0.000
1996	5	  1.1086E+05	  1.1178E+05	  7.7120E+05	  5.5616E+07	  2.3249E+05	  3.8857E+04	  1.6286E+05	  4.0418E+03	  1.0699E+06	  1.2689E+08	  1.7157E+03	0.000
1996	6	  1.1998E+05	  1.2085E+05	  8.5855E+05	  5.3828E+07	  2.5707E+05	  4.8195E+04	  1.9175E+05	  4.5452E+03	  1.0374E+06	  1.2949E+08	  1.7669E+03	0.000
1996	7	  1.0822E+05	  1.0898E+05	  7.7852E+05	  4.8065E+07	  2.3288E+05	  4.5342E+04	  1.7686E+05	  4.1527E+03	  9.1343E+05	  1.2337E+08	  1.7037E+03	0.000
1996	8	  8.0716E+04	  8.1277E+04	  5.8087E+05	  3.5880E+07	  1.7389E+05	  3.4513E+04	  1.3303E+05	  3.1134E+03	  6.7614E+05	  9.6435E+07	  1.3454E+03	0.000
1996	9	  4.1395E+04	  4.1723E+04	  2.9053E+05	  2.0969E+07	  8.7458E+04	  1.5876E+04	  6.3583E+04	  1.5489E+03	  3.8684E+05	  5.7530E+07	  8.0759E+02	0.000
1996	10	  1.4935E+04	  1.5104E+04	  8.9213E+04	  1.0348E+07	  2.9109E+04	  4.0668E+03	  1.7211E+04	  4.9650E+02	  1.8804E+05	  2.6456E+07	  3.6767E+02	0.000
1996	11	  3.9005E+03	  3.9646E+03	  1.4867E+04	  3.7812E+06	  6.6126E+03	  7.6725E+02	  2.7641E+03	  1.0585E+02	  6.8135E+04	  8.8497E+06	  1.2052E+02	0.000
1996	12	  1.5130E+03	  1.5426E+03	  4.1207E+03	  1.7345E+06	  2.3620E+03	  2.8093E+02	  8.4572E+02	  3.5446E+01	  3.0906E+04	  3.7896E+06	  4.9985E+01	0.000
1997	1	  2.7356E+03	  2.7871E+03	  7.9545E+03	  3.0231E+06	  4.3433E+03	  4.8560E+02	  1.5373E+03	  6.6505E+01	  5.4044E+04	  6.8592E+06	  9.2154E+01	0.000
1997	2	  9.1835E+03	  9.3296E+03	  3.7623E+04	  8.6265E+06	  1.5812E+04	  1.7476E+03	  6.7016E+03	  2.5448E+02	  1.5598E+05	  2.0323E+07	  2.7732E+02	0.000
1997	3	  3.5973E+04	  3.6376E+04	  2.1676E+05	  2.3920E+07	  7.0359E+04	  9.5958E+03	  4.1509E+04	  1.1889E+03	  4.4754E+05	  5.5268E+07	  7.5224E+02	0.000
1997	4	  7.8793E+04	  7.9487E+04	  5.3598E+05	  4.1387E+07	  1.6336E+05	  2.6269E+04	  1.1113E+05	  2.8186E+03	  7.9723E+05	  9.3407E+07	  1.2637E+03	0.000
1997	5	  1.1350E+05	  1.1442E+05	  7.9358E+05	  5.5460E+07	  2.3906E+05	  4.0846E+04	  1.6945E+05	  4.1643E+03	  1.0717E+06	  1.2640E+08	  1.7092E+03	0.000
1997	6	  1.2720E+05	  1.2808E+05	  9.1472E+05	  5.4051E+07	  2.7433E+05	  5.3646E+04	  2.0863E+05	  4.8726E+03	  1.0522E+06	  1.2972E+08	  1.7703E+03	0.000
1997	7	  1.1604E+05	  1.1680E+05	  8.3843E+05	  4.8462E+07	  2.5142E+05	  5.1333E+04	  1.9502E+05	  4.5080E+03	  9.3158E+05	  1.2413E+08	  1.7145E+03	0.000
1997	8	  8.4337E+04	  8.4906E+04	  6.0864E+05	  3.6355E+07	  1.8235E+05	  3.7023E+04	  1.4100E+05	  3.2735E+03	  6.8896E+05	  9.7596E+07	  1.3616E+03	0.000
1997	9	  4.1659E+04	  4.1994E+04	  2.9124E+05	  2.1386E+07	  8.7808E+04	  1.5820E+04	  6.3489E+04	  1.5540E+03	  3.9362E+05	  5.8683E+07	  8.2350E+02	0.000
1997	10	  1.5393E+04	  1.5567E+04	  9.2111E+04	  1.0637E+07	  3.0040E+04	  4.2309E+03	  1.7849E+04	  5.1294E+02	  1.9310E+05	  2.7297E+07	  3.7952E+02	0.000
