% Station Finse, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 14:03:56
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1996	1	  2.9884E+03	  3.0402E+03	  1.0184E+04	  3.0191E+06	  4.8862E+03	  5.6835E+02	  1.9373E+03	  7.7268E+01	  5.4347E+04	  6.8858E+06	  9.2937E+01	0.000
1996	2	  1.1192E+04	  1.1347E+04	  5.4842E+04	  9.1127E+06	  2.0160E+04	  2.4255E+03	  9.9717E+03	  3.3358E+02	  1.6681E+05	  2.1514E+07	  2.9454E+02	0.000
1996	3	  3.9036E+04	  3.9450E+04	  2.4142E+05	  2.4370E+07	  7.6688E+04	  1.0819E+04	  4.6807E+04	  1.3074E+03	  4.5900E+05	  5.6263E+07	  7.6614E+02	0.000
1996	4	  8.4527E+04	  8.5232E+04	  5.8304E+05	  4.1739E+07	  1.7540E+05	  2.8812E+04	  1.2175E+05	  3.0475E+03	  8.1043E+05	  9.4162E+07	  1.2747E+03	0.000
1996	5	  1.1793E+05	  1.1885E+05	  8.2687E+05	  5.5442E+07	  2.4777E+05	  4.3072E+04	  1.7760E+05	  4.3409E+03	  1.0758E+06	  1.2674E+08	  1.7153E+03	0.000
1996	6	  1.2696E+05	  1.2783E+05	  9.0987E+05	  5.3846E+07	  2.7249E+05	  5.3267E+04	  2.0705E+05	  4.8537E+03	  1.0457E+06	  1.3032E+08	  1.7810E+03	0.000
1996	7	  1.0936E+05	  1.1012E+05	  7.8575E+05	  4.8068E+07	  2.3510E+05	  4.6183E+04	  1.7911E+05	  4.2016E+03	  9.1418E+05	  1.2381E+08	  1.7109E+03	0.000
1996	8	  8.0716E+04	  8.1277E+04	  5.8055E+05	  3.5848E+07	  1.7375E+05	  3.4448E+04	  1.3286E+05	  3.1114E+03	  6.7575E+05	  9.6241E+07	  1.3425E+03	0.000
1996	9	  4.1395E+04	  4.1723E+04	  2.9038E+05	  2.0995E+07	  8.7381E+04	  1.5864E+04	  6.3527E+04	  1.5487E+03	  3.8668E+05	  5.7933E+07	  8.1410E+02	0.000
1996	10	  1.4935E+04	  1.5104E+04	  8.8910E+04	  1.0361E+07	  2.8948E+04	  4.0369E+03	  1.7097E+04	  4.9541E+02	  1.8743E+05	  2.6877E+07	  3.7445E+02	0.000
1996	11	  3.9705E+03	  4.0346E+03	  1.5438E+04	  3.7568E+06	  6.7095E+03	  7.8268E+02	  2.8551E+03	  1.0823E+02	  6.7802E+04	  8.7936E+06	  1.1982E+02	0.000
1996	12	  1.5691E+03	  1.5987E+03	  4.5382E+03	  1.7263E+06	  2.4640E+03	  2.9746E+02	  9.2244E+02	  3.7670E+01	  3.0849E+04	  3.7830E+06	  5.0026E+01	0.000
1997	1	  2.7356E+03	  2.7871E+03	  7.9550E+03	  3.0265E+06	  4.3433E+03	  4.8597E+02	  1.5378E+03	  6.6527E+01	  5.4052E+04	  6.8855E+06	  9.2544E+01	0.000
1997	2	  9.1835E+03	  9.3296E+03	  3.7625E+04	  8.6363E+06	  1.5812E+04	  1.7490E+03	  6.7038E+03	  2.5457E+02	  1.5600E+05	  2.0400E+07	  2.7849E+02	0.000
1997	3	  3.5973E+04	  3.6376E+04	  2.1677E+05	  2.3949E+07	  7.0359E+04	  9.6037E+03	  4.1524E+04	  1.1894E+03	  4.4761E+05	  5.5499E+07	  7.5572E+02	0.000
1997	4	  7.8793E+04	  7.9487E+04	  5.3603E+05	  4.1467E+07	  1.6336E+05	  2.6303E+04	  1.1119E+05	  2.8202E+03	  7.9742E+05	  9.4022E+07	  1.2729E+03	0.000
1997	5	  1.1350E+05	  1.1442E+05	  7.9373E+05	  5.5686E+07	  2.3906E+05	  4.0955E+04	  1.6964E+05	  4.1691E+03	  1.0722E+06	  1.2822E+08	  1.7367E+03	0.000
