% Station Kise, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 13:58:08
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  1.8943E+03	  1.9298E+03	  5.5507E+03	  2.1595E+06	  2.9981E+03	  3.4246E+02	  1.0768E+03	  4.6593E+01	  3.7303E+04	  5.4056E+06	  7.3745E+01	0.000
1995	2	  6.0461E+03	  6.1474E+03	  2.2618E+04	  6.1587E+06	  1.0102E+04	  1.0963E+03	  4.0071E+03	  1.6260E+02	  1.0759E+05	  1.5776E+07	  2.1779E+02	0.000
1995	3	  2.3314E+04	  2.3592E+04	  1.3354E+05	  1.7164E+07	  4.4513E+04	  5.9844E+03	  2.5340E+04	  7.5764E+02	  3.0731E+05	  4.4104E+07	  6.0972E+02	0.000
1995	4	  4.7619E+04	  4.8073E+04	  3.1577E+05	  2.8728E+07	  9.6994E+04	  1.5273E+04	  6.4373E+04	  1.6936E+03	  5.1808E+05	  7.6766E+07	  1.0671E+03	0.000
1995	5	  8.2699E+04	  8.3322E+04	  5.8768E+05	  3.9857E+07	  1.7614E+05	  3.3128E+04	  1.3091E+05	  3.1383E+03	  7.3939E+05	  1.0718E+08	  1.4922E+03	0.000
1995	6	  1.0804E+05	  1.0874E+05	  7.8095E+05	  4.4782E+07	  2.3447E+05	  4.9260E+04	  1.8390E+05	  4.2320E+03	  8.5341E+05	  1.1955E+08	  1.6635E+03	0.000
1995	7	  1.0311E+05	  1.0379E+05	  7.4547E+05	  4.3523E+07	  2.2344E+05	  4.6191E+04	  1.7422E+05	  4.0242E+03	  8.2652E+05	  1.1650E+08	  1.6222E+03	0.000
1995	8	  7.7943E+04	  7.8460E+04	  5.6236E+05	  3.3136E+07	  1.6873E+05	  3.4887E+04	  1.3135E+05	  3.0384E+03	  6.2794E+05	  8.9971E+07	  1.2581E+03	0.000
1995	9	  3.4883E+04	  3.5181E+04	  2.4083E+05	  1.9064E+07	  7.2798E+04	  1.2550E+04	  5.1339E+04	  1.2841E+03	  3.4601E+05	  5.3304E+07	  7.5023E+02	0.000
1995	10	  1.2509E+04	  1.2643E+04	  7.7219E+04	  8.5693E+06	  2.4712E+04	  3.6816E+03	  1.5320E+04	  4.2813E+02	  1.5124E+05	  2.4459E+07	  3.4656E+02	0.000
1995	11	  2.9417E+03	  2.9870E+03	  1.2331E+04	  2.8229E+06	  5.1070E+03	  6.3995E+02	  2.3308E+03	  8.4362E+01	  4.8758E+04	  7.6429E+06	  1.0682E+02	0.000
1995	12	  1.0287E+03	  1.0489E+03	  2.7486E+03	  1.2366E+06	  1.5930E+03	  1.9299E+02	  5.6962E+02	  2.4184E+01	  2.1176E+04	  3.0220E+06	  4.0552E+01	0.000
1996	1	  2.0468E+03	  2.0825E+03	  6.9459E+03	  2.1702E+06	  3.3576E+03	  4.0320E+02	  1.3437E+03	  5.3493E+01	  3.7721E+04	  5.4528E+06	  7.4666E+01	0.000
1996	2	  7.7455E+03	  7.8534E+03	  3.7949E+04	  6.5729E+06	  1.3998E+04	  1.7259E+03	  6.9783E+03	  2.3332E+02	  1.1674E+05	  1.6884E+07	  2.3420E+02	0.000
1996	3	  2.6860E+04	  2.7146E+04	  1.6664E+05	  1.7654E+07	  5.3022E+04	  7.7126E+03	  3.2749E+04	  9.1264E+02	  3.2015E+05	  4.5414E+07	  6.2907E+02	0.000
1996	4	  5.5040E+04	  5.5500E+04	  3.8276E+05	  2.9204E+07	  1.1518E+05	  1.9841E+04	  8.1624E+04	  2.0301E+03	  5.3609E+05	  7.8131E+07	  1.0881E+03	0.000
1996	5	  8.0007E+04	  8.0634E+04	  5.6545E+05	  4.0106E+07	  1.6945E+05	  3.0805E+04	  1.2387E+05	  3.0082E+03	  7.3929E+05	  1.0782E+08	  1.5004E+03	0.000
