% Station Landvik, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:11:57
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI. Gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.4882E+03	  2.5341E+03	  7.5873E+03	  2.8308E+06	  3.9903E+03	  4.4078E+02	  1.4213E+03	  6.2588E+01	  4.8510E+04	  7.4389E+06	  1.0283E+02	0.000
1995	2	  7.0114E+03	  7.1213E+03	  2.9553E+04	  6.8339E+06	  1.2143E+04	  1.3678E+03	  5.2454E+03	  1.9900E+02	  1.1830E+05	  1.8315E+07	  2.5503E+02	0.000
1995	3	  2.1691E+04	  2.1963E+04	  1.2082E+05	  1.7132E+07	  4.0969E+04	  5.2682E+03	  2.2366E+04	  6.9627E+02	  3.0017E+05	  4.6138E+07	  6.4194E+02	0.000
1995	4	  4.4549E+04	  4.4988E+04	  2.9209E+05	  2.8006E+07	  9.0153E+04	  1.3796E+04	  5.8678E+04	  1.5715E+03	  5.0017E+05	  7.5801E+07	  1.0549E+03	0.000
1995	5	  7.7759E+04	  7.8384E+04	  5.4731E+05	  3.9953E+07	  1.6407E+05	  2.9191E+04	  1.1860E+05	  2.9066E+03	  7.3379E+05	  1.0696E+08	  1.4861E+03	0.000
1995	6	  9.9320E+04	  1.0002E+05	  7.1526E+05	  4.4650E+07	  2.1375E+05	  4.1985E+04	  1.6297E+05	  3.8271E+03	  8.3873E+05	  1.1868E+08	  1.6481E+03	0.000
1995	7	  1.0210E+05	  1.0278E+05	  7.3856E+05	  4.3936E+07	  2.2091E+05	  4.4836E+04	  1.7108E+05	  3.9699E+03	  8.3161E+05	  1.1711E+08	  1.6283E+03	0.000
1995	8	  7.4575E+04	  7.5106E+04	  5.3643E+05	  3.4029E+07	  1.6026E+05	  3.1192E+04	  1.2166E+05	  2.8654E+03	  6.3683E+05	  9.1988E+07	  1.2836E+03	0.000
1995	9	  3.7841E+04	  3.8158E+04	  2.6338E+05	  2.0322E+07	  7.9287E+04	  1.3759E+04	  5.6342E+04	  1.3999E+03	  3.6984E+05	  5.6487E+07	  7.9359E+02	0.000
1995	10	  1.4113E+04	  1.4266E+04	  8.7153E+04	  9.8138E+06	  2.7840E+04	  4.0595E+03	  1.7096E+04	  4.8181E+02	  1.7245E+05	  2.8145E+07	  3.9859E+02	0.000
1995	11	  3.7677E+03	  3.8243E+03	  1.6633E+04	  3.5926E+06	  6.6361E+03	  8.1907E+02	  3.0899E+03	  1.1036E+02	  6.1327E+04	  1.0262E+07	  1.4500E+02	0.000
1995	12	  1.5377E+03	  1.5671E+03	  4.3028E+03	  1.8349E+06	  2.4211E+03	  2.7879E+02	  8.4787E+02	  3.7524E+01	  3.1029E+04	  4.8926E+06	  6.7473E+01	0.000
1996	1	  2.6023E+03	  2.6483E+03	  8.7383E+03	  2.8373E+06	  4.2670E+03	  4.8631E+02	  1.6378E+03	  6.7801E+01	  4.8789E+04	  7.4646E+06	  1.0334E+02	0.000
1996	2	  8.8306E+03	  8.9472E+03	  4.6239E+04	  7.2613E+06	  1.6381E+04	  2.0989E+03	  8.6197E+03	  2.7580E+02	  1.2771E+05	  1.9496E+07	  2.7246E+02	0.000
1996	3	  2.7248E+04	  2.7527E+04	  1.7354E+05	  1.7627E+07	  5.4587E+04	  8.2745E+03	  3.4786E+04	  9.4600E+02	  3.1591E+05	  4.7504E+07	  6.6290E+02	0.000
1996	4	  5.1550E+04	  5.1997E+04	  3.5495E+05	  2.8486E+07	  1.0731E+05	  1.8151E+04	  7.4995E+04	  1.8893E+03	  5.1779E+05	  7.7082E+07	  1.0744E+03	0.000
1996	5	  7.9033E+04	  7.9662E+04	  5.5636E+05	  4.0257E+07	  1.6694E+05	  3.0013E+04	  1.2117E+05	  2.9605E+03	  7.4040E+05	  1.0772E+08	  1.4966E+03	0.000
1996	6	  1.0087E+05	  1.0157E+05	  7.2633E+05	  4.4730E+07	  2.1736E+05	  4.3288E+04	  1.6656E+05	  3.8982E+03	  8.4228E+05	  1.1889E+08	  1.6510E+03	0.000
1996	7	  9.8939E+04	  9.9622E+04	  7.1312E+05	  4.3684E+07	  2.1336E+05	  4.2606E+04	  1.6377E+05	  3.8273E+03	  8.2303E+05	  1.1648E+08	  1.6192E+03	0.000
1996	8	  7.7539E+04	  7.8064E+04	  5.5995E+05	  3.3671E+07	  1.6760E+05	  3.3948E+04	  1.2952E+05	  3.0105E+03	  6.3564E+05	  9.1069E+07	  1.2716E+03	0.000
1996	9	  4.0286E+04	  4.0596E+04	  2.8479E+05	  1.9957E+07	  8.5518E+04	  1.5880E+04	  6.3013E+04	  1.5205E+03	  3.6777E+05	  5.5526E+07	  7.8099E+02	0.000
1996	10	  1.3988E+04	  1.4137E+04	  8.7328E+04	  9.5384E+06	  2.7736E+04	  4.1127E+03	  1.7265E+04	  4.8092E+02	  1.6801E+05	  2.7379E+07	  3.8799E+02	0.000
1996	11	  3.6362E+03	  3.6911E+03	  1.5946E+04	  3.4799E+06	  6.3940E+03	  7.9116E+02	  2.9708E+03	  1.0624E+02	  5.9394E+04	  9.9268E+06	  1.4021E+02	0.000
1996	12	  1.6381E+03	  1.6674E+03	  5.2910E+03	  1.8304E+06	  2.6669E+03	  3.2495E+02	  1.0433E+03	  4.2312E+01	  3.1136E+04	  4.8842E+06	  6.7522E+01	0.000
1997	1	  2.6299E+03	  2.6758E+03	  8.9513E+03	  2.8398E+06	  4.3296E+03	  4.9794E+02	  1.6800E+03	  6.9053E+01	  4.8877E+04	  7.4770E+06	  1.0358E+02	0.000
1997	2	  7.3343E+03	  7.4443E+03	  3.2972E+04	  6.8463E+06	  1.2947E+04	  1.5123E+03	  5.9368E+03	  2.1381E+02	  1.1897E+05	  1.8356E+07	  2.5583E+02	0.000
1997	3	  2.5569E+04	  2.5842E+04	  1.5919E+05	  1.7229E+07	  5.0670E+04	  7.4439E+03	  3.1418E+04	  8.7495E+02	  3.0732E+05	  4.6417E+07	  6.4744E+02	0.000
1997	4	  5.2553E+04	  5.2994E+04	  3.6424E+05	  2.8141E+07	  1.0999E+05	  1.9159E+04	  7.8080E+04	  1.9421E+03	  5.1396E+05	  7.6151E+07	  1.0618E+03	0.000
1997	5	  8.2260E+04	  8.2886E+04	  5.8444E+05	  4.0010E+07	  1.7503E+05	  3.2595E+04	  1.2955E+05	  3.1156E+03	  7.4130E+05	  1.0709E+08	  1.4888E+03	0.000
1997	6	  1.0432E+05	  1.0502E+05	  7.5384E+05	  4.4702E+07	  2.2573E+05	  4.6074E+04	  1.7504E+05	  4.0598E+03	  8.4694E+05	  1.1881E+08	  1.6505E+03	0.000
1997	7	  1.0494E+05	  1.0563E+05	  7.5955E+05	  4.3963E+07	  2.2765E+05	  4.7276E+04	  1.7790E+05	  4.1026E+03	  8.3624E+05	  1.1717E+08	  1.6295E+03	0.000
1997	8	  8.0350E+04	  8.0882E+04	  5.8139E+05	  3.4090E+07	  1.7414E+05	  3.5872E+04	  1.3563E+05	  3.1342E+03	  6.4632E+05	  9.2135E+07	  1.2866E+03	0.000
1997	9	  4.2198E+04	  4.2516E+04	  2.9955E+05	  2.0378E+07	  8.9911E+04	  1.7036E+04	  6.6938E+04	  1.6022E+03	  3.7711E+05	  5.6632E+07	  7.9647E+02	0.000
1997	10	  1.4793E+04	  1.4947E+04	  9.3506E+04	  9.8272E+06	  2.9531E+04	  4.4910E+03	  1.8725E+04	  5.1331E+02	  1.7365E+05	  2.8186E+07	  3.9940E+02	0.000
1997	11	  3.9042E+03	  3.9610E+03	  1.8023E+04	  3.5983E+06	  6.9721E+03	  8.8464E+02	  3.3781E+03	  1.1666E+02	  6.1618E+04	  1.0284E+07	  1.4544E+02	0.000
1997	12	  1.6812E+03	  1.7107E+03	  5.5924E+03	  1.8450E+06	  2.7597E+03	  3.4052E+02	  1.1032E+03	  4.4084E+01	  3.1423E+04	  4.9404E+06	  6.8415E+01	0.000
1998	1	  2.6925E+03	  2.7385E+03	  9.6392E+03	  2.8421E+06	  4.4855E+03	  5.2501E+02	  1.8120E+03	  7.1928E+01	  4.9001E+04	  7.4830E+06	  1.0370E+02	0.000
1998	2	  7.8221E+03	  7.9324E+03	  3.8036E+04	  6.8667E+06	  1.4154E+04	  1.7299E+03	  6.9579E+03	  2.3616E+02	  1.2001E+05	  1.8428E+07	  2.5725E+02	0.000
1998	3	  2.5329E+04	  2.5601E+04	  1.5616E+05	  1.7209E+07	  5.0084E+04	  7.4189E+03	  3.1052E+04	  8.6412E+02	  3.0665E+05	  4.6346E+07	  6.4605E+02	0.000
1998	4	  4.4135E+04	  4.4574E+04	  2.8743E+05	  2.7992E+07	  8.9097E+04	  1.3627E+04	  5.7740E+04	  1.5525E+03	  4.9934E+05	  7.5758E+07	  1.0541E+03	0.000
1998	5	  7.9545E+04	  8.0170E+04	  5.6108E+05	  3.9970E+07	  1.6836E+05	  3.0649E+04	  1.2295E+05	  2.9897E+03	  7.3671E+05	  1.0700E+08	  1.4869E+03	0.000
1998	6	  9.7188E+04	  9.7886E+04	  6.9663E+05	  4.4618E+07	  2.0847E+05	  4.0497E+04	  1.5775E+05	  3.7284E+03	  8.3512E+05	  1.1861E+08	  1.6466E+03	0.000
1998	7	  9.3017E+04	  9.3702E+04	  6.6490E+05	  4.3827E+07	  1.9887E+05	  3.7831E+04	  1.4901E+05	  3.5482E+03	  8.1653E+05	  1.1685E+08	  1.6231E+03	0.000
1998	8	  6.9683E+04	  7.0214E+04	  4.9540E+05	  3.3964E+07	  1.4829E+05	  2.7569E+04	  1.0974E+05	  2.6385E+03	  6.2863E+05	  9.1827E+07	  1.2804E+03	0.000
1998	9	  3.7706E+04	  3.8022E+04	  2.6178E+05	  2.0317E+07	  7.8929E+04	  1.3711E+04	  5.6016E+04	  1.3936E+03	  3.6957E+05	  5.6475E+07	  7.9336E+02	0.000
1998	10	  1.3865E+04	  1.4018E+04	  8.4305E+04	  9.7996E+06	  2.7226E+04	  3.9829E+03	  1.6619E+04	  4.7041E+02	  1.7186E+05	  2.8091E+07	  3.9751E+02	0.000
1998	11	  3.8508E+03	  3.9075E+03	  1.7448E+04	  3.5955E+06	  6.8397E+03	  8.6412E+02	  3.2700E+03	  1.1421E+02	  6.1496E+04	  1.0273E+07	  1.4523E+02	0.000
1998	12	  1.5911E+03	  1.6206E+03	  4.8031E+03	  1.8383E+06	  2.5484E+03	  3.0200E+02	  9.4620E+02	  3.9976E+01	  3.1168E+04	  4.9082E+06	  6.7782E+01	0.000
1999	1	  2.4203E+03	  2.4660E+03	  7.0252E+03	  2.8234E+06	  3.8347E+03	  4.2128E+02	  1.3262E+03	  5.9528E+01	  4.8270E+04	  7.4026E+06	  1.0212E+02	0.000
1999	2	  7.2556E+03	  7.3655E+03	  3.2194E+04	  6.8345E+06	  1.2772E+04	  1.5131E+03	  5.8762E+03	  2.1028E+02	  1.1863E+05	  1.8305E+07	  2.5484E+02	0.000
1999	3	  2.1341E+04	  2.1613E+04	  1.1667E+05	  1.7107E+07	  4.0114E+04	  5.1984E+03	  2.1781E+04	  6.8034E+02	  2.9923E+05	  4.6046E+07	  6.4013E+02	0.000
1999	4	  4.7711E+04	  4.8150E+04	  3.2121E+05	  2.8063E+07	  9.8021E+04	  1.5845E+04	  6.6326E+04	  1.7178E+03	  5.0567E+05	  7.5951E+07	  1.0579E+03	0.000
1999	5	  8.0883E+04	  8.1508E+04	  5.7252E+05	  3.9989E+07	  1.7165E+05	  3.1615E+04	  1.2621E+05	  3.0517E+03	  7.3896E+05	  1.0704E+08	  1.4878E+03	0.000
1999	6	  1.0045E+05	  1.0115E+05	  7.2282E+05	  4.4657E+07	  2.1637E+05	  4.3047E+04	  1.6566E+05	  3.8800E+03	  8.4053E+05	  1.1870E+08	  1.6484E+03	0.000
1999	7	  1.0294E+05	  1.0363E+05	  7.4395E+05	  4.3941E+07	  2.2285E+05	  4.5665E+04	  1.7307E+05	  4.0097E+03	  8.3295E+05	  1.1712E+08	  1.6285E+03	0.000
1999	8	  7.3047E+04	  7.3578E+04	  5.2370E+05	  3.4009E+07	  1.5653E+05	  3.0051E+04	  1.1793E+05	  2.7945E+03	  6.3427E+05	  9.1939E+07	  1.2827E+03	0.000
1999	9	  4.0886E+04	  4.1203E+04	  2.8864E+05	  2.0361E+07	  8.6714E+04	  1.6049E+04	  6.3754E+04	  1.5412E+03	  3.7492E+05	  5.6586E+07	  7.9556E+02	0.000
1999	10	  1.3759E+04	  1.3912E+04	  8.3608E+04	  9.8045E+06	  2.6952E+04	  3.8632E+03	  1.6268E+04	  4.6542E+02	  1.7179E+05	  2.8116E+07	  3.9802E+02	0.000
1999	11	  3.8574E+03	  3.9142E+03	  1.7507E+04	  3.5966E+06	  6.8539E+03	  8.6410E+02	  3.2736E+03	  1.1450E+02	  6.1525E+04	  1.0279E+07	  1.4534E+02	0.000
1999	12	  1.5429E+03	  1.5723E+03	  4.3659E+03	  1.8346E+06	  2.4343E+03	  2.8238E+02	  8.6151E+02	  3.7767E+01	  3.1031E+04	  4.8904E+06	  6.7428E+01	0.000
2000	1	  2.7465E+03	  2.7925E+03	  1.0132E+04	  2.8463E+06	  4.6130E+03	  5.4515E+02	  1.9038E+03	  7.4382E+01	  4.9157E+04	  7.5022E+06	  1.0408E+02	0.000
2000	2	  8.0555E+03	  8.1716E+03	  3.8088E+04	  7.2303E+06	  1.4455E+04	  1.7536E+03	  6.9731E+03	  2.4026E+02	  1.2607E+05	  1.9392E+07	  2.7042E+02	0.000
2000	3	  2.6239E+04	  2.6518E+04	  1.6487E+05	  1.7617E+07	  5.2086E+04	  7.5431E+03	  3.2264E+04	  8.9932E+02	  3.1428E+05	  4.7482E+07	  6.6246E+02	0.000
2000	4	  5.2073E+04	  5.2519E+04	  3.5903E+05	  2.8492E+07	  1.0857E+05	  1.8573E+04	  7.6268E+04	  1.9137E+03	  5.1865E+05	  7.7096E+07	  1.0746E+03	0.000
2000	5	  8.5288E+04	  8.5919E+04	  6.0975E+05	  4.0344E+07	  1.8229E+05	  3.4542E+04	  1.3640E+05	  3.2507E+03	  7.5095E+05	  1.0794E+08	  1.5009E+03	0.000
2000	6	  1.0208E+05	  1.0278E+05	  7.3594E+05	  4.4743E+07	  2.2028E+05	  4.4248E+04	  1.6949E+05	  3.9545E+03	  8.4428E+05	  1.1892E+08	  1.6517E+03	0.000
2000	7	  1.0097E+05	  1.0165E+05	  7.2954E+05	  4.3708E+07	  2.1829E+05	  4.4180E+04	  1.6871E+05	  3.9216E+03	  8.2640E+05	  1.1653E+08	  1.6203E+03	0.000
2000	8	  7.4077E+04	  7.4601E+04	  5.3270E+05	  3.3633E+07	  1.5926E+05	  3.1177E+04	  1.2114E+05	  2.8495E+03	  6.2994E+05	  9.0977E+07	  1.2698E+03	0.000
2000	9	  3.8752E+04	  3.9062E+04	  2.7274E+05	  1.9941E+07	  8.1814E+04	  1.4653E+04	  5.9275E+04	  1.4492E+03	  3.6526E+05	  5.5489E+07	  7.8025E+02	0.000
2000	10	  1.3618E+04	  1.3767E+04	  8.3499E+04	  9.5265E+06	  2.6813E+04	  3.9259E+03	  1.6434E+04	  4.6382E+02	  1.6729E+05	  2.7337E+07	  3.8718E+02	0.000
2000	11	  3.5885E+03	  3.6434E+03	  1.5398E+04	  3.4787E+06	  6.2719E+03	  7.6970E+02	  2.8588E+03	  1.0404E+02	  5.9310E+04	  9.9245E+06	  1.4016E+02	0.000
2000	12	  1.4533E+03	  1.4824E+03	  3.6839E+03	  1.8149E+06	  2.2343E+03	  2.5188E+02	  7.3143E+02	  3.3890E+01	  3.0579E+04	  4.8067E+06	  6.5992E+01	0.000
2001	1	  2.4925E+03	  2.5383E+03	  7.6638E+03	  2.8300E+06	  4.0028E+03	  4.4465E+02	  1.4378E+03	  6.2795E+01	  4.8499E+04	  7.4334E+06	  1.0273E+02	0.000
2001	2	  6.9672E+03	  7.0769E+03	  2.9093E+04	  6.8247E+06	  1.2049E+04	  1.3812E+03	  5.2401E+03	  1.9703E+02	  1.1806E+05	  1.8277E+07	  2.5429E+02	0.000
2001	3	  2.1324E+04	  2.1596E+04	  1.1683E+05	  1.7114E+07	  4.0062E+04	  5.1312E+03	  2.1634E+04	  6.7946E+02	  2.9933E+05	  4.6074E+07	  6.4069E+02	0.000
