% Station Nyaalesund, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1995	2	  5.7694E+01	  5.9057E+01	  1.2425E+02	  8.2670E+04	  8.2100E+01	  9.5585E+00	  2.5782E+01	  1.0553E+00	  1.4125E+03	  1.5706E+05	  1.8370E+00	0.000
1995	3	  3.8854E+03	  3.9671E+03	  8.6150E+03	  4.9077E+06	  5.8049E+03	  5.8886E+02	  1.6365E+03	  8.5043E+01	  8.5174E+04	  1.1757E+07	  1.5842E+02	0.000
1995	4	  2.0399E+04	  2.0726E+04	  8.3467E+04	  1.9816E+07	  3.5009E+04	  3.8310E+03	  1.4695E+04	  5.6596E+02	  3.5029E+05	  4.9085E+07	  6.7264E+02	0.000
1995	5	  5.3316E+04	  5.3984E+04	  2.9611E+05	  4.1085E+07	  1.0076E+05	  1.2904E+04	  5.4980E+04	  1.7009E+03	  7.3501E+05	  1.0411E+08	  1.4352E+03	0.000
1995	6	  7.3222E+04	  7.3995E+04	  4.6098E+05	  4.8342E+07	  1.4561E+05	  2.1067E+04	  9.0336E+04	  2.5101E+03	  8.7052E+05	  1.2658E+08	  1.7570E+03	0.000
1995	7	  6.7361E+04	  6.8027E+04	  4.3819E+05	  4.2324E+07	  1.3618E+05	  2.1020E+04	  8.8564E+04	  2.3697E+03	  7.5803E+05	  1.1635E+08	  1.6317E+03	0.000
1995	8	  3.5535E+04	  3.5920E+04	  2.1918E+05	  2.4726E+07	  7.0117E+04	  1.0301E+04	  4.3242E+04	  1.2131E+03	  4.3423E+05	  7.0759E+07	  1.0007E+03	0.000
1995	9	  9.2718E+03	  9.4029E+03	  4.4624E+04	  8.3237E+06	  1.6753E+04	  2.1458E+03	  8.3743E+03	  2.8123E+02	  1.4284E+05	  2.3763E+07	  3.3581E+02	0.000
1995	10	  9.3124E+02	  9.4733E+02	  3.2071E+03	  9.7158E+05	  1.5444E+03	  2.1352E+02	  6.7684E+02	  2.4491E+01	  1.7044E+04	  2.2595E+06	  3.0075E+01	0.000
1995	11	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1995	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	1	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	2	  1.0375E+02	  1.0566E+02	  3.4353E+02	  1.1465E+05	  1.6852E+02	  2.5520E+01	  7.7704E+01	  2.5631E+00	  2.0097E+03	  2.3583E+05	  2.9434E+00	0.000
1996	3	  5.1668E+03	  5.2553E+03	  1.8567E+04	  5.3189E+06	  8.6061E+03	  9.9101E+02	  3.4627E+03	  1.3671E+02	  9.3906E+04	  1.2927E+07	  1.7637E+02	0.000
1996	4	  2.1371E+04	  2.1709E+04	  8.9324E+04	  2.0482E+07	  3.6891E+04	  4.0563E+03	  1.5698E+04	  5.9851E+02	  3.6242E+05	  5.0770E+07	  6.9610E+02	0.000
1996	5	  5.5551E+04	  5.6228E+04	  3.1560E+05	  4.1672E+07	  1.0595E+05	  1.3885E+04	  5.9253E+04	  1.7940E+03	  7.4738E+05	  1.0570E+08	  1.4579E+03	0.000
1996	6	  7.4653E+04	  7.5425E+04	  4.7509E+05	  4.8348E+07	  1.4923E+05	  2.1934E+04	  9.3816E+04	  2.5771E+03	  8.7236E+05	  1.2676E+08	  1.7604E+03	0.000
1996	7	  6.4509E+04	  6.5167E+04	  4.1371E+05	  4.1824E+07	  1.2944E+05	  1.9475E+04	  8.2569E+04	  2.2467E+03	  7.4580E+05	  1.1518E+08	  1.6152E+03	0.000
1996	8	  3.4148E+04	  3.4525E+04	  2.0871E+05	  2.4111E+07	  6.7107E+04	  9.7582E+03	  4.0972E+04	  1.1595E+03	  4.2267E+05	  6.9053E+07	  9.7663E+02	0.000
1996	9	  9.1337E+03	  9.2592E+03	  4.5252E+04	  7.9584E+06	  1.6672E+04	  2.1839E+03	  8.5519E+03	  2.8133E+02	  1.3708E+05	  2.2683E+07	  3.2079E+02	0.000
1996	10	  7.4335E+02	  7.5760E+02	  2.1671E+03	  8.5981E+05	  1.1759E+03	  1.5015E+02	  4.5583E+02	  1.7863E+01	  1.4956E+04	  1.9641E+06	  2.5847E+01	0.000
