% Station Nyaalesund, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 03-Feb-2023 11:14:31
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI. Gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1995	2	  5.7694E+01	  5.9057E+01	  1.2425E+02	  8.2670E+04	  8.2100E+01	  9.5585E+00	  2.5782E+01	  1.0553E+00	  1.4125E+03	  1.5706E+05	  1.8370E+00	0.000
1995	3	  3.8854E+03	  3.9671E+03	  8.6150E+03	  4.9077E+06	  5.8049E+03	  5.8886E+02	  1.6365E+03	  8.5043E+01	  8.5174E+04	  1.1757E+07	  1.5842E+02	0.000
1995	4	  2.0399E+04	  2.0726E+04	  8.3467E+04	  1.9816E+07	  3.5009E+04	  3.8310E+03	  1.4695E+04	  5.6596E+02	  3.5029E+05	  4.9085E+07	  6.7264E+02	0.000
1995	5	  5.3316E+04	  5.3984E+04	  2.9611E+05	  4.1085E+07	  1.0076E+05	  1.2904E+04	  5.4980E+04	  1.7009E+03	  7.3501E+05	  1.0411E+08	  1.4352E+03	0.000
1995	6	  7.3213E+04	  7.3986E+04	  4.6090E+05	  4.8342E+07	  1.4559E+05	  2.1062E+04	  9.0316E+04	  2.5097E+03	  8.7050E+05	  1.2658E+08	  1.7570E+03	0.000
1995	7	  6.7334E+04	  6.8000E+04	  4.3794E+05	  4.2323E+07	  1.3611E+05	  2.1004E+04	  8.8501E+04	  2.3685E+03	  7.5798E+05	  1.1635E+08	  1.6317E+03	0.000
1995	8	  3.5522E+04	  3.5908E+04	  2.1906E+05	  2.4726E+07	  7.0085E+04	  1.0293E+04	  4.3212E+04	  1.2125E+03	  4.3421E+05	  7.0758E+07	  1.0007E+03	0.000
1995	9	  9.2696E+03	  9.4007E+03	  4.4602E+04	  8.3236E+06	  1.6748E+04	  2.1448E+03	  8.3695E+03	  2.8113E+02	  1.4283E+05	  2.3762E+07	  3.3581E+02	0.000
1995	10	  9.3116E+02	  9.4725E+02	  3.2064E+03	  9.7158E+05	  1.5443E+03	  2.1348E+02	  6.7669E+02	  2.4487E+01	  1.7043E+04	  2.2594E+06	  3.0075E+01	0.000
1995	11	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1995	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	1	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1996	2	  1.0374E+02	  1.0565E+02	  3.4343E+02	  1.1465E+05	  1.6849E+02	  2.5512E+01	  7.7679E+01	  2.5625E+00	  2.0097E+03	  2.3583E+05	  2.9432E+00	0.000
1996	3	  5.1666E+03	  5.2551E+03	  1.8565E+04	  5.3188E+06	  8.6056E+03	  9.9093E+02	  3.4623E+03	  1.3670E+02	  9.3905E+04	  1.2927E+07	  1.7636E+02	0.000
1996	4	  2.1369E+04	  2.1707E+04	  8.9305E+04	  2.0481E+07	  3.6887E+04	  4.0556E+03	  1.5694E+04	  5.9843E+02	  3.6242E+05	  5.0770E+07	  6.9609E+02	0.000
1996	5	  5.5540E+04	  5.6217E+04	  3.1548E+05	  4.1672E+07	  1.0592E+05	  1.3880E+04	  5.9228E+04	  1.7935E+03	  7.4736E+05	  1.0570E+08	  1.4578E+03	0.000
1996	6	  7.4635E+04	  7.5407E+04	  4.7491E+05	  4.8348E+07	  1.4918E+05	  2.1923E+04	  9.3774E+04	  2.5763E+03	  8.7233E+05	  1.2676E+08	  1.7604E+03	0.000
1996	7	  6.4497E+04	  6.5155E+04	  4.1360E+05	  4.1823E+07	  1.2941E+05	  1.9468E+04	  8.2541E+04	  2.2462E+03	  7.4578E+05	  1.1517E+08	  1.6152E+03	0.000
1996	8	  3.4148E+04	  3.4525E+04	  2.0871E+05	  2.4111E+07	  6.7107E+04	  9.7582E+03	  4.0972E+04	  1.1595E+03	  4.2267E+05	  6.9053E+07	  9.7663E+02	0.000
1996	9	  9.1337E+03	  9.2592E+03	  4.5252E+04	  7.9584E+06	  1.6672E+04	  2.1839E+03	  8.5519E+03	  2.8133E+02	  1.3708E+05	  2.2683E+07	  3.2079E+02	0.000
