% Station Østerås, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:56:12
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.0479E+03	  2.0854E+03	  6.3235E+03	  2.2807E+06	  3.2811E+03	  3.7337E+02	  1.2071E+03	  5.1503E+01	  3.9444E+04	  5.7746E+06	  7.9164E+01	0.000
1995	2	  6.1047E+03	  6.2046E+03	  2.3823E+04	  6.1247E+06	  1.0317E+04	  1.1357E+03	  4.2242E+03	  1.6724E+02	  1.0658E+05	  1.5968E+07	  2.2116E+02	0.000
1995	3	  2.2525E+04	  2.2788E+04	  1.3137E+05	  1.6487E+07	  4.3364E+04	  5.9747E+03	  2.5196E+04	  7.4203E+02	  2.9236E+05	  4.3917E+07	  6.1085E+02	0.000
1995	4	  4.7173E+04	  4.7614E+04	  3.1536E+05	  2.8066E+07	  9.6526E+04	  1.5438E+04	  6.4781E+04	  1.6892E+03	  5.0567E+05	  7.5713E+07	  1.0542E+03	0.000
1995	5	  8.5030E+04	  8.5662E+04	  6.0571E+05	  4.0392E+07	  1.8147E+05	  3.4469E+04	  1.3559E+05	  3.2368E+03	  7.5134E+05	  1.0834E+08	  1.5076E+03	0.000
1995	6	  1.0982E+05	  1.1052E+05	  7.9445E+05	  4.4908E+07	  2.3865E+05	  5.0602E+04	  1.8793E+05	  4.3125E+03	  8.5824E+05	  1.1961E+08	  1.6636E+03	0.000
1995	7	  1.0557E+05	  1.0626E+05	  7.6400E+05	  4.3945E+07	  2.2911E+05	  4.7843E+04	  1.7944E+05	  4.1317E+03	  8.3674E+05	  1.1747E+08	  1.6352E+03	0.000
1995	8	  8.1188E+04	  8.1717E+04	  5.8646E+05	  3.3949E+07	  1.7606E+05	  3.6836E+04	  1.3779E+05	  3.1752E+03	  6.4539E+05	  9.1994E+07	  1.2859E+03	0.000
1995	9	  3.6977E+04	  3.7286E+04	  2.5671E+05	  1.9738E+07	  7.7431E+04	  1.3516E+04	  5.5077E+04	  1.3671E+03	  3.6028E+05	  5.4583E+07	  7.6656E+02	0.000
1995	10	  1.3812E+04	  1.3957E+04	  8.6629E+04	  9.1816E+06	  2.7467E+04	  4.1453E+03	  1.7292E+04	  4.7646E+02	  1.6310E+05	  2.5862E+07	  3.6552E+02	0.000
1995	11	  3.2360E+03	  3.2844E+03	  1.4187E+04	  3.0206E+06	  5.6869E+03	  7.1549E+02	  2.6659E+03	  9.4475E+01	  5.2273E+04	  8.2283E+06	  1.1527E+02	0.000
1995	12	  1.1519E+03	  1.1740E+03	  3.2011E+03	  1.3561E+06	  1.8026E+03	  2.1556E+02	  6.5038E+02	  2.7702E+01	  2.3248E+04	  3.3768E+06	  4.5719E+01	0.000
1996	1	  2.2157E+03	  2.2533E+03	  7.8994E+03	  2.2917E+06	  3.6791E+03	  4.4038E+02	  1.5069E+03	  5.9103E+01	  3.9887E+04	  5.8216E+06	  8.0083E+01	0.000
1996	2	  7.8135E+03	  7.9197E+03	  3.9389E+04	  6.5271E+06	  1.4262E+04	  1.7897E+03	  7.2875E+03	  2.3891E+02	  1.1549E+05	  1.7070E+07	  2.3753E+02	0.000
1996	3	  2.5977E+04	  2.6247E+04	  1.6355E+05	  1.6952E+07	  5.1675E+04	  7.7115E+03	  3.2522E+04	  8.9394E+02	  3.0458E+05	  4.5199E+07	  6.2991E+02	0.000
1996	4	  5.4559E+04	  5.5007E+04	  3.8134E+05	  2.8576E+07	  1.1458E+05	  2.0041E+04	  8.1931E+04	  2.0239E+03	  5.2428E+05	  7.7095E+07	  1.0752E+03	0.000
1996	5	  8.2279E+04	  8.2915E+04	  5.8322E+05	  4.0651E+07	  1.7464E+05	  3.2064E+04	  1.2840E+05	  3.1037E+03	  7.5130E+05	  1.0900E+08	  1.5161E+03	0.000
