% Station Trondheim, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  9.3751E+02	  9.5736E+02	  2.1253E+03	  1.2212E+06	  1.4014E+03	  1.6050E+02	  4.4125E+02	  2.0444E+01	  2.0719E+04	  2.9843E+06	  3.9804E+01	0.000
1995	2	  3.9633E+03	  4.0352E+03	  1.2639E+04	  4.4430E+06	  6.4081E+03	  6.8555E+02	  2.2866E+03	  1.0106E+02	  7.6200E+04	  1.1769E+07	  1.6307E+02	0.000
1995	3	  1.5999E+04	  1.6226E+04	  7.7922E+04	  1.4212E+07	  2.8881E+04	  3.4253E+03	  1.3983E+04	  4.8206E+02	  2.4719E+05	  3.8086E+07	  5.2952E+02	0.000
1995	4	  3.7969E+04	  3.8384E+04	  2.3479E+05	  2.6448E+07	  7.4773E+04	  1.0626E+04	  4.5505E+04	  1.2913E+03	  4.6680E+05	  7.2045E+07	  1.0040E+03	0.000
1995	5	  6.9471E+04	  7.0081E+04	  4.7658E+05	  3.8960E+07	  1.4420E+05	  2.4062E+04	  1.0003E+05	  2.5360E+03	  7.0671E+05	  1.0484E+08	  1.4582E+03	0.000
1995	6	  8.9732E+04	  9.0418E+04	  6.3756E+05	  4.3839E+07	  1.9086E+05	  3.5308E+04	  1.4100E+05	  3.3929E+03	  8.1218E+05	  1.1728E+08	  1.6307E+03	0.000
1995	7	  8.9596E+04	  9.0254E+04	  6.4108E+05	  4.2101E+07	  1.9171E+05	  3.6524E+04	  1.4389E+05	  3.4189E+03	  7.8461E+05	  1.1314E+08	  1.5757E+03	0.000
1995	8	  6.1915E+04	  6.2404E+04	  4.3723E+05	  3.1352E+07	  1.3103E+05	  2.3675E+04	  9.5508E+04	  2.3233E+03	  5.7641E+05	  8.5755E+07	  1.1997E+03	0.000
1995	9	  2.8030E+04	  2.8297E+04	  1.8607E+05	  1.7150E+07	  5.7162E+04	  9.0515E+03	  3.8009E+04	  9.9934E+02	  3.0626E+05	  4.8356E+07	  6.8154E+02	0.000
1995	10	  8.7334E+03	  8.8447E+03	  4.7295E+04	  7.0865E+06	  1.6387E+04	  2.1736E+03	  8.9124E+03	  2.7901E+02	  1.2275E+05	  2.0299E+07	  2.8743E+02	0.000
1995	11	  1.7533E+03	  1.7843E+03	  5.8292E+03	  1.9306E+06	  2.8713E+03	  3.4721E+02	  1.1372E+03	  4.5620E+01	  3.2985E+04	  5.0798E+06	  7.0014E+01	0.000
1995	12	  4.3368E+02	  4.4297E+02	  1.0507E+03	  5.7249E+05	  6.4938E+02	  8.1650E+01	  2.2776E+02	  9.2736E+00	  9.6817E+03	  1.3096E+06	  1.6807E+01	0.000
1996	1	  1.1325E+03	  1.1527E+03	  3.7162E+03	  1.2382E+06	  1.8530E+03	  2.4352E+02	  7.6847E+02	  2.9280E+01	  2.1328E+04	  3.0725E+06	  4.1536E+01	0.000
1996	2	  5.3853E+03	  5.4624E+03	  2.5459E+04	  4.7759E+06	  9.6837E+03	  1.2175E+03	  4.7524E+03	  1.6119E+02	  8.3616E+04	  1.2725E+07	  1.7763E+02	0.000
