% Station Trondheim, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by DSA (former NRPA) - Norwegian Authority of Radiation and Nuclear Safety (email: Bjorn.Johnsen@dsa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 15-Feb-2024 11:59:25
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  9.3797E+02	  9.5782E+02	  2.1225E+03	  1.2178E+06	  1.3965E+03	  1.5930E+02	  4.3911E+02	  2.0406E+01	  2.0661E+04	  2.9761E+06	  3.9697E+01	0.000
1995	2	  3.9500E+03	  4.0218E+03	  1.2493E+04	  4.4290E+06	  6.3503E+03	  6.7559E+02	  2.2525E+03	  1.0018E+02	  7.5937E+04	  1.1729E+07	  1.6247E+02	0.000
1995	3	  1.7024E+04	  1.7251E+04	  8.8254E+04	  1.4213E+07	  3.1350E+04	  3.9222E+03	  1.6233E+04	  5.2810E+02	  2.4864E+05	  3.8098E+07	  5.3024E+02	0.000
1995	4	  3.9897E+04	  4.0313E+04	  2.5353E+05	  2.6476E+07	  7.9535E+04	  1.1723E+04	  5.0015E+04	  1.3796E+03	  4.7001E+05	  7.2125E+07	  1.0058E+03	0.000
1995	5	  7.4652E+04	  7.5263E+04	  5.1963E+05	  3.9016E+07	  1.5676E+05	  2.7895E+04	  1.1251E+05	  2.7755E+03	  7.1517E+05	  1.0497E+08	  1.4611E+03	0.000
1995	6	  9.7853E+04	  9.8540E+04	  7.0244E+05	  4.3923E+07	  2.1043E+05	  4.1627E+04	  1.6059E+05	  3.7693E+03	  8.2542E+05	  1.1748E+08	  1.6349E+03	0.000
1995	7	  8.9586E+04	  9.0244E+04	  6.4085E+05	  4.2091E+07	  1.9162E+05	  3.6490E+04	  1.4379E+05	  3.4176E+03	  7.8441E+05	  1.1311E+08	  1.5754E+03	0.000
1995	8	  6.4481E+04	  6.4971E+04	  4.5809E+05	  3.1378E+07	  1.3723E+05	  2.5628E+04	  1.0170E+05	  2.4420E+03	  5.8057E+05	  8.5818E+07	  1.2010E+03	0.000
1995	9	  3.0062E+04	  3.0329E+04	  2.0419E+05	  1.7179E+07	  6.2175E+04	  1.0430E+04	  4.2934E+04	  1.0933E+03	  3.0967E+05	  4.8435E+07	  6.8317E+02	0.000
1995	10	  8.9493E+03	  9.0607E+03	  4.9420E+04	  7.0880E+06	  1.6912E+04	  2.2896E+03	  9.4001E+03	  2.8883E+02	  1.2308E+05	  2.0306E+07	  2.8763E+02	0.000
1995	11	  1.7644E+03	  1.7954E+03	  5.9249E+03	  1.9273E+06	  2.8893E+03	  3.5002E+02	  1.1532E+03	  4.6038E+01	  3.2945E+04	  5.0722E+06	  6.9926E+01	0.000
1995	12	  4.3665E+02	  4.4594E+02	  1.0694E+03	  5.7117E+05	  6.5337E+02	  8.2377E+01	  2.3128E+02	  9.3811E+00	  9.6643E+03	  1.3076E+06	  1.6792E+01	0.000
1996	1	  9.3751E+02	  9.5736E+02	  2.1193E+03	  1.2177E+06	  1.3954E+03	  1.5911E+02	  4.3840E+02	  2.0386E+01	  2.0659E+04	  2.9758E+06	  3.9691E+01	0.000
1996	2	  5.3791E+03	  5.4561E+03	  2.5360E+04	  4.7610E+06	  9.6306E+03	  1.2064E+03	  4.7207E+03	  1.6046E+02	  8.3343E+04	  1.2681E+07	  1.7699E+02	0.000
1996	3	  2.0661E+04	  2.0896E+04	  1.2288E+05	  1.4711E+07	  4.0099E+04	  5.6415E+03	  2.3776E+04	  6.8806E+02	  2.6170E+05	  3.9499E+07	  5.5140E+02	0.000
1996	4	  4.6533E+04	  4.6956E+04	  3.1471E+05	  2.6995E+07	  9.5793E+04	  1.5593E+04	  6.5209E+04	  1.6793E+03	  4.8766E+05	  7.3540E+07	  1.0274E+03	0.000
1996	5	  7.3634E+04	  7.4250E+04	  5.1197E+05	  3.9322E+07	  1.5418E+05	  2.6718E+04	  1.0950E+05	  2.7223E+03	  7.1841E+05	  1.0576E+08	  1.4717E+03	0.000
1996	6	  9.5077E+04	  9.5764E+04	  6.8030E+05	  4.3934E+07	  2.0370E+05	  3.9403E+04	  1.5380E+05	  3.6395E+03	  8.2149E+05	  1.1752E+08	  1.6349E+03	0.000
1996	7	  8.7780E+04	  8.8434E+04	  6.2598E+05	  4.1826E+07	  1.8734E+05	  3.5376E+04	  1.3983E+05	  3.3383E+03	  7.7763E+05	  1.1244E+08	  1.5659E+03	0.000
1996	8	  6.6373E+04	  6.6856E+04	  4.7498E+05	  3.0986E+07	  1.4213E+05	  2.7344E+04	  1.0707E+05	  2.5374E+03	  5.7726E+05	  8.4812E+07	  1.1878E+03	0.000
1996	9	  3.0695E+04	  3.0956E+04	  2.1169E+05	  1.6795E+07	  6.4037E+04	  1.1064E+04	  4.5154E+04	  1.1297E+03	  3.0465E+05	  4.7403E+07	  6.6927E+02	0.000
1996	10	  8.8651E+03	  8.9727E+03	  4.9966E+04	  6.8472E+06	  1.6881E+04	  2.3297E+03	  9.5684E+03	  2.8923E+02	  1.1925E+05	  1.9615E+07	  2.7803E+02	0.000
1996	11	  1.6613E+03	  1.6910E+03	  5.4242E+03	  1.8393E+06	  2.7018E+03	  3.2637E+02	  1.0612E+03	  4.2835E+01	  3.1424E+04	  4.8151E+06	  6.6237E+01	0.000
1996	12	  4.2506E+02	  4.3419E+02	  1.0238E+03	  5.6104E+05	  6.3299E+02	  7.9240E+01	  2.2121E+02	  9.0327E+00	  9.4856E+03	  1.2804E+06	  1.6407E+01	0.000
1997	1	  9.5425E+02	  9.7412E+02	  2.2626E+03	  1.2228E+06	  1.4401E+03	  1.6679E+02	  4.6794E+02	  2.1201E+01	  2.0773E+04	  2.9923E+06	  3.9961E+01	0.000
1997	2	  4.2514E+03	  4.3235E+03	  1.5601E+04	  4.4587E+06	  7.1110E+03	  7.9963E+02	  2.8427E+03	  1.1423E+02	  7.6888E+04	  1.1829E+07	  1.6424E+02	0.000
1997	3	  1.7978E+04	  1.8206E+04	  9.8370E+04	  1.4276E+07	  3.3826E+04	  4.4001E+03	  1.8398E+04	  5.7298E+02	  2.5110E+05	  3.8287E+07	  5.3348E+02	0.000
1997	4	  4.5375E+04	  4.5792E+04	  3.0399E+05	  2.6591E+07	  9.3222E+04	  1.5305E+04	  6.3314E+04	  1.6338E+03	  4.7983E+05	  7.2435E+07	  1.0117E+03	0.000
1997	5	  7.1602E+04	  7.2213E+04	  4.9482E+05	  3.8990E+07	  1.4943E+05	  2.5597E+04	  1.0522E+05	  2.6348E+03	  7.1030E+05	  1.0491E+08	  1.4597E+03	0.000
1997	6	  9.5941E+04	  9.6628E+04	  6.8797E+05	  4.3915E+07	  2.0593E+05	  4.0087E+04	  1.5607E+05	  3.6813E+03	  8.2251E+05	  1.1746E+08	  1.6344E+03	0.000
1997	7	  9.6092E+04	  9.6751E+04	  6.9254E+05	  4.2175E+07	  2.0739E+05	  4.1675E+04	  1.5963E+05	  3.7208E+03	  7.9535E+05	  1.1331E+08	  1.5793E+03	0.000
1997	8	  6.9674E+04	  7.0164E+04	  5.0043E+05	  3.1446E+07	  1.4988E+05	  2.9635E+04	  1.1436E+05	  2.6837E+03	  5.8931E+05	  8.5992E+07	  1.2044E+03	0.000
1997	9	  3.0406E+04	  3.0674E+04	  2.0671E+05	  1.7185E+07	  6.3010E+04	  1.0737E+04	  4.3788E+04	  1.1095E+03	  3.1028E+05	  4.8451E+07	  6.8343E+02	0.000
1997	10	  8.8846E+03	  8.9959E+03	  4.8736E+04	  7.0887E+06	  1.6766E+04	  2.2708E+03	  9.2852E+03	  2.8602E+02	  1.2300E+05	  2.0305E+07	  2.8754E+02	0.000
1997	11	  1.8195E+03	  1.8506E+03	  6.4632E+03	  1.9342E+06	  3.0303E+03	  3.7753E+02	  1.2642E+03	  4.8662E+01	  3.3146E+04	  5.0955E+06	  7.0323E+01	0.000
1997	12	  4.3368E+02	  4.4297E+02	  1.0507E+03	  5.7249E+05	  6.4938E+02	  8.1650E+01	  2.2776E+02	  9.2736E+00	  9.6817E+03	  1.3096E+06	  1.6807E+01	0.000
1998	1	  9.8405E+02	  1.0040E+03	  2.5194E+03	  1.2252E+06	  1.5098E+03	  1.7878E+02	  5.1820E+02	  2.2554E+01	  2.0862E+04	  3.0039E+06	  4.0189E+01	0.000
1998	2	  4.2534E+03	  4.3255E+03	  1.5585E+04	  4.4586E+06	  7.1151E+03	  8.0435E+02	  2.8505E+03	  1.1432E+02	  7.6889E+04	  1.1830E+07	  1.6426E+02	0.000
1998	3	  1.8159E+04	  1.8387E+04	  9.9983E+04	  1.4264E+07	  3.4318E+04	  4.5913E+03	  1.9055E+04	  5.8154E+02	  2.5112E+05	  3.8227E+07	  5.3231E+02	0.000
1998	4	  3.7574E+04	  3.7989E+04	  2.3000E+05	  2.6429E+07	  7.3769E+04	  1.0511E+04	  4.4685E+04	  1.2731E+03	  4.6593E+05	  7.1983E+07	  1.0027E+03	0.000
1998	5	  6.8572E+04	  6.9182E+04	  4.6685E+05	  3.8934E+07	  1.4189E+05	  2.3643E+04	  9.7891E+04	  2.4946E+03	  7.0501E+05	  1.0477E+08	  1.4568E+03	0.000
1998	6	  9.1301E+04	  9.1987E+04	  6.4838E+05	  4.3850E+07	  1.9454E+05	  3.6735E+04	  1.4478E+05	  3.4662E+03	  8.1467E+05	  1.1730E+08	  1.6311E+03	0.000
1998	7	  8.5072E+04	  8.5730E+04	  6.0298E+05	  4.2040E+07	  1.8064E+05	  3.3197E+04	  1.3288E+05	  3.2091E+03	  7.7701E+05	  1.1298E+08	  1.5727E+03	0.000
1998	8	  5.7571E+04	  5.8060E+04	  3.9898E+05	  3.1285E+07	  1.2030E+05	  2.0661E+04	  8.4934E+04	  2.1220E+03	  5.6901E+05	  8.5579E+07	  1.1962E+03	0.000
1998	9	  2.9550E+04	  2.9818E+04	  1.9976E+05	  1.7175E+07	  6.0928E+04	  1.0076E+04	  4.1696E+04	  1.0698E+03	  3.0887E+05	  4.8427E+07	  6.8295E+02	0.000
1998	10	  8.9935E+03	  9.1047E+03	  4.9824E+04	  7.0867E+06	  1.7051E+04	  2.3531E+03	  9.6031E+03	  2.9110E+02	  1.2311E+05	  2.0290E+07	  2.8724E+02	0.000
1998	11	  1.7703E+03	  1.8014E+03	  5.9837E+03	  1.9314E+06	  2.9119E+03	  3.5650E+02	  1.1710E+03	  4.6406E+01	  3.3024E+04	  5.0832E+06	  7.0081E+01	0.000
1998	12	  4.3368E+02	  4.4297E+02	  1.0507E+03	  5.7249E+05	  6.4938E+02	  8.1650E+01	  2.2776E+02	  9.2736E+00	  9.6817E+03	  1.3096E+06	  1.6807E+01	0.000
1999	1	  9.2053E+02	  9.4034E+02	  2.0043E+03	  1.2190E+06	  1.3633E+03	  1.5505E+02	  4.1780E+02	  1.9686E+01	  2.0651E+04	  2.9722E+06	  3.9567E+01	0.000
1999	2	  3.9422E+03	  4.0140E+03	  1.2581E+04	  4.4369E+06	  6.3695E+03	  6.8830E+02	  2.2940E+03	  1.0016E+02	  7.6047E+04	  1.1737E+07	  1.6244E+02	0.000
1999	3	  1.5276E+04	  1.5503E+04	  7.0213E+04	  1.4171E+07	  2.7110E+04	  3.1671E+03	  1.2608E+04	  4.4901E+02	  2.4544E+05	  3.7937E+07	  5.2660E+02	0.000
1999	4	  4.0400E+04	  4.0817E+04	  2.5862E+05	  2.6504E+07	  8.0870E+04	  1.2035E+04	  5.1281E+04	  1.4036E+03	  4.7120E+05	  7.2201E+07	  1.0071E+03	0.000
1999	5	  7.0207E+04	  7.0817E+04	  4.8163E+05	  3.8962E+07	  1.4595E+05	  2.4732E+04	  1.0186E+05	  2.5702E+03	  7.0784E+05	  1.0484E+08	  1.4582E+03	0.000
1999	6	  9.4816E+04	  9.5502E+04	  6.7852E+05	  4.3900E+07	  2.0318E+05	  3.9257E+04	  1.5333E+05	  3.6291E+03	  8.2062E+05	  1.1743E+08	  1.6336E+03	0.000
1999	7	  9.1356E+04	  9.2015E+04	  6.5402E+05	  4.2117E+07	  1.9588E+05	  3.8038E+04	  1.4812E+05	  3.5010E+03	  7.8747E+05	  1.1317E+08	  1.5765E+03	0.000
1999	8	  6.1508E+04	  6.1997E+04	  4.3338E+05	  3.1345E+07	  1.3001E+05	  2.3422E+04	  9.4515E+04	  2.3045E+03	  5.7570E+05	  8.5735E+07	  1.1993E+03	0.000
1999	9	  3.1281E+04	  3.1549E+04	  2.1471E+05	  1.7201E+07	  6.5183E+04	  1.1311E+04	  4.5904E+04	  1.1501E+03	  3.1180E+05	  4.8495E+07	  6.8430E+02	0.000
1999	10	  8.6395E+03	  8.7508E+03	  4.6263E+04	  7.0829E+06	  1.6151E+04	  2.1333E+03	  8.7059E+03	  2.7467E+02	  1.2256E+05	  2.0288E+07	  2.8720E+02	0.000
1999	11	  1.7576E+03	  1.7887E+03	  5.8379E+03	  1.9307E+06	  2.8801E+03	  3.5225E+02	  1.1460E+03	  4.5818E+01	  3.2996E+04	  5.0810E+06	  7.0037E+01	0.000
1999	12	  4.3368E+02	  4.4297E+02	  1.0507E+03	  5.7249E+05	  6.4938E+02	  8.1650E+01	  2.2776E+02	  9.2736E+00	  9.6817E+03	  1.3096E+06	  1.6807E+01	0.000
2000	1	  9.6959E+02	  9.8949E+02	  2.3950E+03	  1.2240E+06	  1.4760E+03	  1.7310E+02	  4.9407E+02	  2.1898E+01	  2.0818E+04	  2.9981E+06	  4.0075E+01	0.000
2000	2	  4.5155E+03	  4.5919E+03	  1.6660E+04	  4.7293E+06	  7.5637E+03	  8.5871E+02	  3.0569E+03	  1.2143E+02	  8.1544E+04	  1.2543E+07	  1.7406E+02	0.000
