% Station Tromsø, Clear sky modelled, integrated monthly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% UV-measurement terminated in end of 1999, and instrument moved to ALOMAR (Andoya). The station was drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Norwegian Authority of Radiation and Nuclear Safety
% E-mail: Bjorn.Johnsen@dsa.no	Date of processing: 02-Mar-2024 14:01:41
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Radiative transfer model: libRadtran release 1.7. http://www.libradtran.org/doku.php. C. Emde, R. Buras-Schnell, A. Kylling, B. Mayer, J. Gasteiger, U. Hamann, J. Kylling, B. Richter, C. Pause, T. Dowling, and L. Bugliaro. The libradtran software package for radiative transfer calculations (version 2.0.1). Geoscientific Model Development, 9(5):1647-1672, 2016
% Ozone data: EP Toms and AURA OMI, and in 1995-1996 (satellite data missing): Dobson stations Vindeln, Sodankylã and Oslo (https://woudc.org/archive/Summaries/TotalOzone/Daily_Summary/). Remaining gaps are substituted with O3 retrieved from GUV measurements. Where also GUV O3 is missing, gaps are filled with seasonal mean of total O3 for Oslo, period 1979-1990. Seasonal data provided by A. Dahlback.
% Ozone satellite data: Daily gridded Level-3 dataproducts (L3_ozone_epc_YYYYMMDD.txt, L3_ozone_omi_YYYYMMDD.txt). 1996-2004: ftp://toms.gsfc.nasa.gov. 2004->: https://ozonewatch.gsfc.nasa.gov/data/omi
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  3.2093E+01	  3.2803E+01	  8.0948E+01	  4.3948E+04	  4.7405E+01	  6.0257E+00	  1.7244E+01	  6.4918E-01	  7.3833E+02	  9.0690E+04	  1.0867E+00	0.000
1995	2	  1.6203E+03	  1.6546E+03	  3.5324E+03	  2.1075E+06	  2.4033E+03	  2.5681E+02	  6.9993E+02	  3.5318E+01	  3.5735E+04	  5.3311E+06	  7.2219E+01	0.000
1995	3	  1.1952E+04	  1.2129E+04	  5.4689E+04	  1.1059E+07	  2.1166E+04	  2.5304E+03	  9.9738E+03	  3.5073E+02	  1.9143E+05	  3.0044E+07	  4.1943E+02	0.000
1995	4	  3.1679E+04	  3.2063E+04	  1.8132E+05	  2.4473E+07	  6.0422E+04	  8.0152E+03	  3.4032E+04	  1.0333E+03	  4.2638E+05	  6.7926E+07	  9.5074E+02	0.000
1995	5	  6.4576E+04	  6.5169E+04	  4.3342E+05	  3.7925E+07	  1.3265E+05	  2.1734E+04	  9.0173E+04	  2.3262E+03	  6.8271E+05	  1.0369E+08	  1.4480E+03	0.000
1995	6	  8.8096E+04	  8.8771E+04	  6.2291E+05	  4.3190E+07	  1.8717E+05	  3.4943E+04	  1.3847E+05	  3.3281E+03	  7.9887E+05	  1.1728E+08	  1.6377E+03	0.000
1995	7	  7.9875E+04	  8.0506E+04	  5.6158E+05	  4.0360E+07	  1.6892E+05	  3.0862E+04	  1.2343E+05	  2.9970E+03	  7.4254E+05	  1.1013E+08	  1.5395E+03	0.000
1995	8	  5.1666E+04	  5.2093E+04	  3.5941E+05	  2.7375E+07	  1.0842E+05	  1.9167E+04	  7.7614E+04	  1.9172E+03	  4.9925E+05	  7.6224E+07	  1.0716E+03	0.000
1995	9	  1.9838E+04	  2.0040E+04	  1.2640E+05	  1.2959E+07	  3.9778E+04	  6.1593E+03	  2.5575E+04	  6.9250E+02	  2.2929E+05	  3.7222E+07	  5.2747E+02	0.000
1995	10	  4.3836E+03	  4.4480E+03	  1.9951E+04	  4.0779E+06	  7.7932E+03	  9.9954E+02	  3.7715E+03	  1.3018E+02	  6.9747E+04	  1.1595E+07	  1.6359E+02	0.000
1995	11	  2.7071E+02	  2.7603E+02	  7.6754E+02	  3.3067E+05	  4.2300E+02	  5.7136E+01	  1.6769E+02	  6.3855E+00	  5.5778E+03	  7.9905E+05	  1.0478E+01	0.000
1995	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	 NaN
1996	1	  3.3537E+01	  3.4251E+01	  9.0950E+01	  4.4117E+04	  5.0631E+01	  6.7408E+00	  1.9684E+01	  7.1310E-01	  7.4394E+02	  9.1939E+04	  1.1112E+00	0.000
1996	2	  1.9789E+03	  2.0164E+03	  5.7939E+03	  2.3039E+06	  3.1243E+03	  3.5653E+02	  1.1188E+03	  4.8348E+01	  3.9417E+04	  5.8866E+06	  8.0381E+01	0.000
1996	3	  1.3644E+04	  1.3828E+04	  6.9491E+04	  1.1525E+07	  2.5030E+04	  3.1879E+03	  1.2951E+04	  4.2113E+02	  2.0118E+05	  3.1397E+07	  4.3947E+02	0.000
1996	4	  3.4055E+04	  3.4447E+04	  2.0318E+05	  2.4952E+07	  6.6048E+04	  9.1037E+03	  3.8809E+04	  1.1356E+03	  4.3723E+05	  6.9266E+07	  9.7028E+02	0.000
1996	5	  6.2363E+04	  6.2962E+04	  4.1231E+05	  3.8238E+07	  1.2693E+05	  2.0030E+04	  8.4202E+04	  2.2175E+03	  6.8433E+05	  1.0449E+08	  1.4582E+03	0.000
