% Station Andøya, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
% Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  3.2914E+05	  3.3236E+05	  2.1366E+06	  2.0552E+08	  6.6687E+05	  1.0674E+05	  4.4106E+05	  1.1635E+04	  3.6714E+06	  5.6416E+08	  7.8844E+03	0.000
1996	  3.3665E+05	  3.3987E+05	  2.2059E+06	  2.0567E+08	  6.8550E+05	  1.1157E+05	  4.5901E+05	  1.1983E+04	  3.6847E+06	  5.6461E+08	  7.8934E+03	0.000
1997	  3.5822E+05	  3.6145E+05	  2.3999E+06	  2.0609E+08	  7.3870E+05	  1.2588E+05	  5.1041E+05	  1.2981E+04	  3.7228E+06	  5.6581E+08	  7.9172E+03	0.000
1998	  3.2847E+05	  3.3169E+05	  2.1259E+06	  2.0548E+08	  6.6497E+05	  1.0681E+05	  4.3950E+05	  1.1604E+04	  3.6698E+06	  5.6405E+08	  7.8823E+03	0.000
1999	  3.3652E+05	  3.3974E+05	  2.1985E+06	  2.0558E+08	  6.8505E+05	  1.1241E+05	  4.5963E+05	  1.1978E+04	  3.6829E+06	  5.6422E+08	  7.8856E+03	0.000
2000	  3.5027E+05	  3.5350E+05	  2.3285E+06	  2.0595E+08	  7.1909E+05	  1.2053E+05	  4.9130E+05	  1.2613E+04	  3.7090E+06	  5.6544E+08	  7.9098E+03	0.000
2001	  3.3895E+05	  3.4217E+05	  2.2214E+06	  2.0561E+08	  6.9115E+05	  1.1399E+05	  4.6565E+05	  1.2091E+04	  3.6869E+06	  5.6427E+08	  7.8868E+03	0.000
2002	  3.5045E+05	  3.5368E+05	  2.3309E+06	  2.0589E+08	  7.1971E+05	  1.2086E+05	  4.9249E+05	  1.2622E+04	  3.7082E+06	  5.6514E+08	  7.9040E+03	0.000
2003	  3.3932E+05	  3.4254E+05	  2.2243E+06	  2.0571E+08	  6.9178E+05	  1.1386E+05	  4.6528E+05	  1.2106E+04	  3.6893E+06	  5.6473E+08	  7.8958E+03	0.000
2004	  3.5429E+05	  3.5752E+05	  2.3625E+06	  2.0600E+08	  7.2887E+05	  1.2351E+05	  5.0098E+05	  1.2800E+04	  3.7158E+06	  5.6559E+08	  7.9128E+03	0.000
2005	  3.4845E+05	  3.5167E+05	  2.3072E+06	  2.0590E+08	  7.1433E+05	  1.1976E+05	  4.8690E+05	  1.2529E+04	  3.7058E+06	  5.6535E+08	  7.9080E+03	0.000
2006	  3.4158E+05	  3.4480E+05	  2.2431E+06	  2.0566E+08	  6.9752E+05	  1.1589E+05	  4.7181E+05	  1.2212E+04	  3.6916E+06	  5.6442E+08	  7.8897E+03	0.000
2007	  3.4830E+05	  3.5152E+05	  2.3074E+06	  2.0589E+08	  7.1406E+05	  1.1961E+05	  4.8675E+05	  1.2522E+04	  3.7052E+06	  5.6523E+08	  7.9057E+03	0.000
2008	  3.4851E+05	  3.5173E+05	  2.3084E+06	  2.0584E+08	  7.1472E+05	  1.2006E+05	  4.8806E+05	  1.2533E+04	  3.7046E+06	  5.6502E+08	  7.9016E+03	0.000
