% Station Bergen, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
% Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  4.4912E+05	  4.5289E+05	  3.0784E+06	  2.4027E+08	  9.3887E+05	  1.6807E+05	  6.7062E+05	  1.6604E+04	  4.3890E+06	  6.5028E+08	  9.0655E+03	0.000
1996	  4.6670E+05	  4.7047E+05	  3.2404E+06	  2.4067E+08	  9.8226E+05	  1.7926E+05	  7.1199E+05	  1.7416E+04	  4.4211E+06	  6.5147E+08	  9.0883E+03	0.000
1997	  4.8084E+05	  4.8461E+05	  3.3485E+06	  2.4075E+08	  1.0163E+06	  1.9103E+05	  7.4675E+05	  1.8075E+04	  4.4432E+06	  6.5161E+08	  9.0917E+03	0.000
1998	  4.3670E+05	  4.4046E+05	  2.9752E+06	  2.4012E+08	  9.0846E+05	  1.5872E+05	  6.4007E+05	  1.6027E+04	  4.3685E+06	  6.4996E+08	  9.0591E+03	0.000
1999	  4.5663E+05	  4.6039E+05	  3.1389E+06	  2.4033E+08	  9.5709E+05	  1.7403E+05	  6.8910E+05	  1.6953E+04	  4.4010E+06	  6.5039E+08	  9.0678E+03	0.000
2000	  4.6483E+05	  4.6860E+05	  3.2206E+06	  2.4061E+08	  9.7759E+05	  1.7840E+05	  7.0790E+05	  1.7331E+04	  4.4173E+06	  6.5125E+08	  9.0840E+03	0.000
2001	  4.4917E+05	  4.5293E+05	  3.0739E+06	  2.4023E+08	  9.3873E+05	  1.6875E+05	  6.7096E+05	  1.6608E+04	  4.3884E+06	  6.5014E+08	  9.0628E+03	0.000
2002	  4.7034E+05	  4.7411E+05	  3.2562E+06	  2.4054E+08	  9.9066E+05	  1.8391E+05	  7.2219E+05	  1.7590E+04	  4.4244E+06	  6.5095E+08	  9.0788E+03	0.000
2003	  4.5928E+05	  4.6304E+05	  3.1673E+06	  2.4045E+08	  9.6366E+05	  1.7513E+05	  6.9459E+05	  1.7075E+04	  4.4067E+06	  6.5078E+08	  9.0753E+03	0.000
2004	  4.5861E+05	  4.6237E+05	  3.1619E+06	  2.4046E+08	  9.6215E+05	  1.7464E+05	  6.9334E+05	  1.7043E+04	  4.4059E+06	  6.5079E+08	  9.0749E+03	0.000
2005	  4.7437E+05	  4.7814E+05	  3.2950E+06	  2.4069E+08	  1.0004E+06	  1.8608E+05	  7.3060E+05	  1.7775E+04	  4.4328E+06	  6.5149E+08	  9.0893E+03	0.000
2006	  4.6305E+05	  4.6681E+05	  3.1875E+06	  2.4041E+08	  9.7237E+05	  1.7932E+05	  7.0437E+05	  1.7252E+04	  4.4118E+06	  6.5063E+08	  9.0724E+03	0.000
2007	  4.7476E+05	  4.7853E+05	  3.2961E+06	  2.4064E+08	  1.0015E+06	  1.8676E+05	  7.3235E+05	  1.7794E+04	  4.4325E+06	  6.5127E+08	  9.0851E+03	0.000
2008	  4.6902E+05	  4.7279E+05	  3.2425E+06	  2.4059E+08	  9.8714E+05	  1.8300E+05	  7.1835E+05	  1.7527E+04	  4.4234E+06	  6.5116E+08	  9.0823E+03	0.000
