% Station Finse, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
%Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1996	  5.9323E+05	  5.9825E+05	  4.0355E+06	  3.0871E+08	  1.2371E+06	  2.1658E+05	  8.7218E+05	  2.1661E+04	  5.8254E+06	  7.5351E+08	  1.0326E+04	0.000
1997	  6.3056E+05	  6.3559E+05	  4.3585E+06	  3.0924E+08	  1.3285E+06	  2.4218E+05	  9.6043E+05	  2.3370E+04	  5.8886E+06	  7.5477E+08	  1.0351E+04	0.000
1998	  5.7457E+05	  5.7959E+05	  3.8823E+06	  3.0845E+08	  1.1916E+06	  2.0233E+05	  8.2634E+05	  2.0794E+04	  5.7939E+06	  7.5291E+08	  1.0315E+04	0.000
1999	  5.9991E+05	  6.0494E+05	  4.0872E+06	  3.0868E+08	  1.2532E+06	  2.2198E+05	  8.8846E+05	  2.1966E+04	  5.8346E+06	  7.5333E+08	  1.0323E+04	0.000
2000	  6.1385E+05	  6.1888E+05	  4.2271E+06	  3.0913E+08	  1.2882E+06	  2.2885E+05	  9.1991E+05	  2.2595E+04	  5.8623E+06	  7.5452E+08	  1.0345E+04	0.000
2001	  5.8756E+05	  5.9258E+05	  3.9812E+06	  3.0851E+08	  1.2230E+06	  2.1326E+05	  8.5891E+05	  2.1399E+04	  5.8139E+06	  7.5297E+08	  1.0316E+04	0.000
2002	  6.1843E+05	  6.2346E+05	  4.2472E+06	  3.0896E+08	  1.2987E+06	  2.3471E+05	  9.3270E+05	  2.2814E+04	  5.8662E+06	  7.5398E+08	  1.0336E+04	0.000
2003	  5.9950E+05	  6.0453E+05	  4.0972E+06	  3.0882E+08	  1.2526E+06	  2.1994E+05	  8.8603E+05	  2.1945E+04	  5.8364E+06	  7.5380E+08	  1.0332E+04	0.000
2004	  6.2145E+05	  6.2648E+05	  4.2824E+06	  3.0916E+08	  1.3064E+06	  2.3556E+05	  9.3878E+05	  2.2950E+04	  5.8740E+06	  7.5457E+08	  1.0347E+04	0.000
2005	  6.1963E+05	  6.2466E+05	  4.2668E+06	  3.0913E+08	  1.3016E+06	  2.3426E+05	  9.3357E+05	  2.2870E+04	  5.8710E+06	  7.5459E+08	  1.0348E+04	0.000
2006	  6.0492E+05	  6.0994E+05	  4.1218E+06	  3.0873E+08	  1.2650E+06	  2.2645E+05	  9.0050E+05	  2.2201E+04	  5.8429E+06	  7.5350E+08	  1.0327E+04	0.000
2007	  6.2170E+05	  6.2673E+05	  4.2810E+06	  3.0907E+08	  1.3069E+06	  2.3614E+05	  9.3954E+05	  2.2961E+04	  5.8729E+06	  7.5431E+08	  1.0342E+04	0.000
2008	  6.0947E+05	  6.1450E+05	  4.1690E+06	  3.0894E+08	  1.2765E+06	  2.2831E+05	  9.1035E+05	  2.2403E+04	  5.8531E+06	  7.5407E+08	  1.0337E+04	0.000
2009	  6.2050E+05	  6.2552E+05	  4.2671E+06	  3.0898E+08	  1.3038E+06	  2.3596E+05	  9.3739E+05	  2.2907E+04	  5.8696E+06	  7.5395E+08	  1.0335E+04	0.000
2010	  5.8564E+05	  5.9066E+05	  3.9721E+06	  3.0850E+08	  1.2187E+06	  2.1114E+05	  8.5429E+05	  2.1308E+04	  5.8107E+06	  7.5287E+08	  1.0314E+04	0.000
2011	  6.2896E+05	  6.3399E+05	  4.3456E+06	  3.0921E+08	  1.3247E+06	  2.4100E+05	  9.5658E+05	  2.3295E+04	  5.8857E+06	  7.5464E+08	  1.0349E+04	0.000
2012	  6.0948E+05	  6.1451E+05	  4.1802E+06	  3.0902E+08	  1.2770E+06	  2.2696E+05	  9.0964E+05	  2.2400E+04	  5.8543E+06	  7.5428E+08	  1.0341E+04	0.000
2013	  6.0435E+05	  6.0937E+05	  4.1259E+06	  3.0876E+08	  1.2642E+06	  2.2493E+05	  8.9900E+05	  2.2169E+04	  5.8423E+06	  7.5352E+08	  1.0327E+04	0.000
2014	  6.1023E+05	  6.1526E+05	  4.1865E+06	  3.0893E+08	  1.2789E+06	  2.2766E+05	  9.1194E+05	  2.2433E+04	  5.8537E+06	  7.5395E+08	  1.0335E+04	0.000
2015	  5.7829E+05	  5.8331E+05	  3.9094E+06	  3.0841E+08	  1.2006E+06	  2.0605E+05	  8.3640E+05	  2.0973E+04	  5.7985E+06	  7.5267E+08	  1.0310E+04	0.000
2016	  6.0642E+05	  6.1145E+05	  4.1553E+06	  3.0898E+08	  1.2695E+06	  2.2471E+05	  9.0240E+05	  2.2260E+04	  5.8491E+06	  7.5419E+08	  1.0339E+04	0.000
2017	  6.0922E+05	  6.1424E+05	  4.1755E+06	  3.0892E+08	  1.2764E+06	  2.2694E+05	  9.0933E+05	  2.2383E+04	  5.8521E+06	  7.5394E+08	  1.0335E+04	0.000
