% Station Østerås, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
% Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  4.6880E+05	  4.7271E+05	  3.2168E+06	  2.4901E+08	  9.8083E+05	  1.7617E+05	  7.0192E+05	  1.7349E+04	  4.5605E+06	  6.6973E+08	  9.3267E+03	0.000
1996	  4.9026E+05	  4.9417E+05	  3.4110E+06	  2.4945E+08	  1.0338E+06	  1.9029E+05	  7.5295E+05	  1.8341E+04	  4.5989E+06	  6.7094E+08	  9.3499E+03	0.000
1997	  5.0429E+05	  5.0821E+05	  3.5169E+06	  2.4952E+08	  1.0674E+06	  2.0214E+05	  7.8743E+05	  1.8995E+04	  4.6207E+06	  6.7106E+08	  9.3530E+03	0.000
1998	  4.5923E+05	  4.6314E+05	  3.1383E+06	  2.4890E+08	  9.5744E+05	  1.6885E+05	  6.7835E+05	  1.6904E+04	  4.5447E+06	  6.6947E+08	  9.3215E+03	0.000
1999	  4.8125E+05	  4.8516E+05	  3.3172E+06	  2.4912E+08	  1.0111E+06	  1.8602E+05	  7.3259E+05	  1.7928E+04	  4.5804E+06	  6.6991E+08	  9.3303E+03	0.000
2000	  4.9279E+05	  4.9670E+05	  3.4278E+06	  2.4945E+08	  1.0397E+06	  1.9270E+05	  7.5932E+05	  1.8459E+04	  4.6027E+06	  6.7092E+08	  9.3496E+03	0.000
2001	  4.7154E+05	  4.7545E+05	  3.2311E+06	  2.4896E+08	  9.8711E+05	  1.7934E+05	  7.0906E+05	  1.7478E+04	  4.5638E+06	  6.6953E+08	  9.3228E+03	0.000
2002	  4.9697E+05	  5.0088E+05	  3.4483E+06	  2.4934E+08	  1.0494E+06	  1.9771E+05	  7.7051E+05	  1.8658E+04	  4.6070E+06	  6.7050E+08	  9.3419E+03	0.000
2003	  4.8028E+05	  4.8419E+05	  3.3181E+06	  2.4920E+08	  1.0090E+06	  1.8409E+05	  7.2925E+05	  1.7881E+04	  4.5803E+06	  6.7023E+08	  9.3365E+03	0.000
2004	  4.9584E+05	  4.9976E+05	  3.4459E+06	  2.4944E+08	  1.0468E+06	  1.9592E+05	  7.6707E+05	  1.8603E+04	  4.6070E+06	  6.7084E+08	  9.3479E+03	0.000
2005	  4.9753E+05	  5.0144E+05	  3.4617E+06	  2.4946E+08	  1.0508E+06	  1.9689E+05	  7.7045E+05	  1.8681E+04	  4.6099E+06	  6.7095E+08	  9.3509E+03	0.000
2006	  4.8710E+05	  4.9101E+05	  3.3586E+06	  2.4917E+08	  1.0248E+06	  1.9118E+05	  7.4656E+05	  1.8201E+04	  4.5901E+06	  6.7008E+08	  9.3337E+03	0.000
2007	  4.9933E+05	  5.0325E+05	  3.4732E+06	  2.4943E+08	  1.0553E+06	  1.9878E+05	  7.7561E+05	  1.8766E+04	  4.6119E+06	  6.7079E+08	  9.3477E+03	0.000
2008	  4.8944E+05	  4.9335E+05	  3.3853E+06	  2.4932E+08	  1.0308E+06	  1.9189E+05	  7.5157E+05	  1.8307E+04	  4.5959E+06	  6.7054E+08	  9.3420E+03	0.000
2009	  4.9670E+05	  5.0062E+05	  3.4484E+06	  2.4933E+08	  1.0488E+06	  1.9736E+05	  7.6981E+05	  1.8646E+04	  4.6065E+06	  6.7044E+08	  9.3409E+03	0.000
2010	  4.7205E+05	  4.7596E+05	  3.2402E+06	  2.4898E+08	  9.8861E+05	  1.7923E+05	  7.1031E+05	  1.7501E+04	  4.5648E+06	  6.6955E+08	  9.3232E+03	0.000
2011	  5.0337E+05	  5.0728E+05	  3.5085E+06	  2.4950E+08	  1.0651E+06	  2.0157E+05	  7.8514E+05	  1.8953E+04	  4.6190E+06	  6.7098E+08	  9.3515E+03	0.000
2012	  4.9028E+05	  4.9419E+05	  3.3991E+06	  2.4938E+08	  1.0332E+06	  1.9169E+05	  7.5327E+05	  1.8344E+04	  4.5980E+06	  6.7072E+08	  9.3455E+03	0.000
2013	  4.8567E+05	  4.8958E+05	  3.3550E+06	  2.4919E+08	  1.0219E+06	  1.8919E+05	  7.4315E+05	  1.8133E+04	  4.5880E+06	  6.7010E+08	  9.3340E+03	0.000
2014	  4.8513E+05	  4.8904E+05	  3.3576E+06	  2.4925E+08	  1.0208E+06	  1.8787E+05	  7.4115E+05	  1.8106E+04	  4.5882E+06	  6.7033E+08	  9.3386E+03	0.000
2015	  4.6698E+05	  4.7088E+05	  3.1997E+06	  2.4894E+08	  9.7623E+05	  1.7522E+05	  6.9767E+05	  1.7266E+04	  4.5566E+06	  6.6945E+08	  9.3212E+03	0.000
2016	  4.8719E+05	  4.9110E+05	  3.3744E+06	  2.4934E+08	  1.0257E+06	  1.8928E+05	  7.4573E+05	  1.8201E+04	  4.5928E+06	  6.7062E+08	  9.3436E+03	0.000
2017	  4.8914E+05	  4.9305E+05	  3.3884E+06	  2.4931E+08	  1.0304E+06	  1.9105E+05	  7.5073E+05	  1.8293E+04	  4.5952E+06	  6.7051E+08	  9.3422E+03	0.000
