% Station Trondheim, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
% Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  4.0853E+05	  4.1213E+05	  2.7602E+06	  2.2932E+08	  8.4634E+05	  1.4612E+05	  5.9093E+05	  1.4899E+04	  4.1625E+06	  6.2093E+08	  8.6564E+03	0.000
1996	  4.2690E+05	  4.3050E+05	  2.9326E+06	  2.2977E+08	  8.9180E+05	  1.5733E+05	  6.3377E+05	  1.5747E+04	  4.1965E+06	  6.2233E+08	  8.6837E+03	0.000
1997	  4.4341E+05	  4.4701E+05	  3.0590E+06	  2.2986E+08	  9.3169E+05	  1.7113E+05	  6.7486E+05	  1.6516E+04	  4.2222E+06	  6.2239E+08	  8.6852E+03	0.000
1998	  4.0423E+05	  4.0783E+05	  2.7219E+06	  2.2925E+08	  8.3563E+05	  1.4319E+05	  5.8029E+05	  1.4700E+04	  4.1552E+06	  6.2078E+08	  8.6533E+03	0.000
1999	  4.2054E+05	  4.2414E+05	  2.8588E+06	  2.2944E+08	  8.7560E+05	  1.5537E+05	  6.2041E+05	  1.5457E+04	  4.1820E+06	  6.2119E+08	  8.6616E+03	0.000
2000	  4.3198E+05	  4.3558E+05	  2.9685E+06	  2.2976E+08	  9.0402E+05	  1.6203E+05	  6.4690E+05	  1.5985E+04	  4.2038E+06	  6.2216E+08	  8.6803E+03	0.000
2001	  4.1589E+05	  4.1949E+05	  2.8160E+06	  2.2935E+08	  8.6408E+05	  1.5241E+05	  6.0936E+05	  1.5242E+04	  4.1737E+06	  6.2092E+08	  8.6562E+03	0.000
2002	  4.3734E+05	  4.4094E+05	  3.0066E+06	  2.2971E+08	  9.1696E+05	  1.6703E+05	  6.6095E+05	  1.6236E+04	  4.2108E+06	  6.2190E+08	  8.6757E+03	0.000
2003	  4.2215E+05	  4.2575E+05	  2.8801E+06	  2.2957E+08	  8.7964E+05	  1.5542E+05	  6.2301E+05	  1.5529E+04	  4.1865E+06	  6.2168E+08	  8.6711E+03	0.000
2004	  4.3648E+05	  4.4008E+05	  3.0038E+06	  2.2980E+08	  9.1486E+05	  1.6569E+05	  6.5789E+05	  1.6195E+04	  4.2110E+06	  6.2226E+08	  8.6824E+03	0.000
2005	  4.3088E+05	  4.3448E+05	  2.9546E+06	  2.2973E+08	  9.0096E+05	  1.6163E+05	  6.4381E+05	  1.5934E+04	  4.2018E+06	  6.2213E+08	  8.6801E+03	0.000
2006	  4.2728E+05	  4.3088E+05	  2.9107E+06	  2.2951E+08	  8.9181E+05	  1.6089E+05	  6.3680E+05	  1.5771E+04	  4.1930E+06	  6.2136E+08	  8.6650E+03	0.000
2007	  4.3533E+05	  4.3893E+05	  2.9889E+06	  2.2972E+08	  9.1182E+05	  1.6546E+05	  6.5534E+05	  1.6142E+04	  4.2082E+06	  6.2202E+08	  8.6779E+03	0.000
2008	  4.2841E+05	  4.3201E+05	  2.9270E+06	  2.2962E+08	  8.9485E+05	  1.6078E+05	  6.3898E+05	  1.5821E+04	  4.1964E+06	  6.2174E+08	  8.6721E+03	0.000
