% Station Tromsø, Clear sky modelled, integrated yearly doses. Last column (0) indicates that all data are model based, homogenized to real sky measurements.
% UV-measurement terminated in end of 1999, and instrument moved to ALOMAR (Andoya). The station was drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Model: http://www.libradtran.org/doku.php
% Ozone data: Priority: 1. Use O3 extracted from GUV measurements. 2. On days GUV_O3 is missing, use seasonal mean O3 Oslo, 1979-1990, ref. A. Dahlback. 3. Substitute dayvalues with EP-TOMS where existing (1996 <= year <2005), and Aura OMI data for year>2005
% Ozone satellite data: Daily gridded Level-3 dataproducts. ftp://toms.gsfc.nasa.gov. 1996-2004: /pub/eptoms/data/ozone; 2005-> /pub/omi/data/ozone
% Modelled data corrected for climatological combined albedo and aerosol influence, based on clear sky UVI measurements
% Dose products other than UVI corrected for the wavelength dependendent influence of seasonal albedo
% Dose products homogenized with clear sky measurement data
%
% Columns: Year	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	  3.3024E+05	  3.3343E+05	  2.1525E+06	  2.0356E+08	  6.7099E+05	  1.0890E+05	  4.4738E+05	  1.1722E+04	  3.6423E+06	  5.5934E+08	  7.8208E+03	0.000
1996	  3.3585E+05	  3.3905E+05	  2.2105E+06	  2.0379E+08	  6.8492E+05	  1.1144E+05	  4.5934E+05	  1.1980E+04	  3.6543E+06	  5.6021E+08	  7.8379E+03	0.000
1997	  3.5333E+05	  3.5653E+05	  2.3637E+06	  2.0403E+08	  7.2806E+05	  1.2379E+05	  5.0215E+05	  1.2791E+04	  3.6836E+06	  5.6075E+08	  7.8487E+03	0.000
1998	  3.2404E+05	  3.2723E+05	  2.0935E+06	  2.0343E+08	  6.5549E+05	  1.0508E+05	  4.3245E+05	  1.1435E+04	  3.6313E+06	  5.5898E+08	  7.8137E+03	0.000
1999	  3.3165E+05	  3.3484E+05	  2.1619E+06	  2.0351E+08	  6.7445E+05	  1.1042E+05	  4.5152E+05	  1.1788E+04	  3.6435E+06	  5.5910E+08	  7.8162E+03	0.000
2000	  3.4432E+05	  3.4751E+05	  2.2829E+06	  2.0388E+08	  7.0581E+05	  1.1770E+05	  4.8047E+05	  1.2373E+04	  3.6679E+06	  5.6033E+08	  7.8403E+03	0.000
2001	  3.3408E+05	  3.3727E+05	  2.1851E+06	  2.0355E+08	  6.8056E+05	  1.1195E+05	  4.5753E+05	  1.1901E+04	  3.6475E+06	  5.5917E+08	  7.8175E+03	0.000
2002	  3.4409E+05	  3.4728E+05	  2.2817E+06	  2.0381E+08	  7.0544E+05	  1.1776E+05	  4.8072E+05	  1.2364E+04	  3.6663E+06	  5.6000E+08	  7.8339E+03	0.000
2003	  3.3367E+05	  3.3686E+05	  2.1806E+06	  2.0363E+08	  6.7925E+05	  1.1134E+05	  4.5527E+05	  1.1880E+04	  3.6486E+06	  5.5960E+08	  7.8259E+03	0.000
2004	  3.3534E+05	  3.3853E+05	  2.1990E+06	  2.0367E+08	  6.8352E+05	  1.1217E+05	  4.5925E+05	  1.1958E+04	  3.6516E+06	  5.5970E+08	  7.8279E+03	0.000
2005	  3.4291E+05	  3.4611E+05	  2.2645E+06	  2.0382E+08	  7.0212E+05	  1.1735E+05	  4.7730E+05	  1.2309E+04	  3.6651E+06	  5.6018E+08	  7.8375E+03	0.000
2006	  3.3547E+05	  3.3866E+05	  2.1947E+06	  2.0356E+08	  6.8384E+05	  1.1316E+05	  4.6083E+05	  1.1965E+04	  3.6499E+06	  5.5921E+08	  7.8184E+03	0.000
2007	  3.4232E+05	  3.4551E+05	  2.2608E+06	  2.0380E+08	  7.0071E+05	  1.1688E+05	  4.7597E+05	  1.2281E+04	  3.6638E+06	  5.6007E+08	  7.8353E+03	0.000
2008	  3.4208E+05	  3.4528E+05	  2.2581E+06	  2.0374E+08	  7.0030E+05	  1.1700E+05	  4.7624E+05	  1.2271E+04	  3.6625E+06	  5.5983E+08	  7.8305E+03	0.000
2009	  3.4564E+05	  3.4883E+05	  2.2911E+06	  2.0379E+08	  7.0912E+05	  1.1935E+05	  4.8483E+05	  1.2436E+04	  3.6683E+06	  5.5988E+08	  7.8316E+03	0.000
